Year ,GrainC1    ,LeafC1     ,StemC1     ,RootC1     ,GrainC2    ,LeafC2     ,StemC2     ,RootC2     ,GrainC3    ,LeafC3     ,StemC3     ,RootC3     ,%SOC_10cm ,%SOC_20cm,%SOC_30cm,%SOC_40cm,%SOC_50cm,kgSOC_10cm ,kgSOC_20cm,%SOC_30cm,%SOC_40cm,kgSOC_50cm,IniSOC     ,End_SOC    ,dSOC       ,GWP,kgN20,kgCH4,ShootLitterC_input,RootLitterC_input,ManureC_input,RootExudation_DOC,Soil-CO2   ,Leach_C    ,Runoff_C   ,CH4        ,IniSON     ,IniSIN     ,EndSON     ,EndSIN     ,dSN        ,Atmo_N_input,Fertilizer_N_input,Manure_N_input,Litter_N_input,N_fixation ,Crop_N_uptake,Leach_NO3  ,Runoff_SON ,Leach_DON  ,N2O_flux   ,NO_flux    ,N2_flux    ,NH3_flux   ,exchengeable-NH4,PET        ,Transpiration,Evaporation,WaterLeach ,Runoff     ,Irrigation ,Precipitation,DeepWater  ,MeanT      ,WindSpeed  ,ColdStress ,WaterStress,N_Stress   ,Cut_CropC  ,yr_end_grain,yr_end_leaf,yr_end_stem,yr_end_root,yr_end_stub
1,23.5,1015.17,1015.17,482.2,0.43,698.22,698.22,558.65,0.55,92.21,92.21,2581.91,0.0142,0.0073,0.0019,0.0005,0.0001,16310.93,8378.32,2187.43,582.93,200.28,26086.39,27659.88,1573.48,-4225,3.2,0,702.54,500.71,820.33,484.91,934.77,0.06,0.16,0,2585.16,1.17,2621.9,7.01,42.58,0,0,45.5,27.4,58.78,69.34,0.12,0,0,3.17,0.02,4.7,10.91,4.83,1544.49,189.26,248.98,8.59,8.59,0,381.7,0.08,15.17,2,1,0.14,0.65,0,0.59,225.13,225.13,3011.96,0
2,0.42,655.12,573.23,459.9,14.74,548.71,78.39,2194.85,0,0,0,0,0.0144,0.0072,0.0019,0.0005,0.0001,16507.13,8323.82,2174.19,578.9,198.19,27659.87,27782.23,122.36,199,1.3,0,477.3,42.62,936.89,998.55,2332.47,0.09,0.46,0,2621.9,7.01,2676.63,22.41,70.13,0,0,99.82,18.47,54.53,61.86,0.22,0.03,0,1.33,0.07,1.96,33.03,4.62,1536.13,68.65,272.4,0,9,0,363.2,0.08,16.16,2,1,0.07,0.58,0,11.03,575.12,220.18,5399.86,0
3,3.3,469.37,410.7,331.47,82.72,327.11,46.73,1308.43,0,0,0,0,0.0147,0.0072,0.0019,0.0005,0.0001,16863.11,8287.49,2162.14,574.18,200.59,27782.23,28087.51,305.28,-101,2.1,0,387.85,45.96,936.89,1614.98,2680.23,0.08,0.09,0,2676.63,22.41,2732.12,37.03,70.11,0,0,112.36,16.34,36.16,42.45,0.39,0,0,2.09,0.08,3.11,42.11,4.99,1528.58,47.79,220.86,0,1.49,0,334.8,0.08,16.35,2,1,0.06,0.61,0,74.42,694.58,207.67,6747.59,0
4,4.73,1089.64,953.43,765.25,6.57,767.95,109.71,3071.79,0,0,0,0,0.0157,0.0072,0.0019,0.0005,0.0001,18038.34,8243.52,2152.69,572.69,197.94,28087.51,29205.19,1117.68,-1921,4.5,0,1023.02,62.01,1250.89,2040.88,3258.33,0.49,0.31,0,2732.12,37.03,2805.59,51.47,87.91,0,0,128.48,36.08,77.74,94.27,1.36,0.05,0,4.47,0.14,6.51,42.62,4.07,1598.58,107.48,216.26,2.6,5.68,0,367.1,0.1,17.05,2,1,0.11,0.57,0,64.19,1398.63,451.75,10191.59,0
5,0,583.36,510.44,408.35,0,443.68,63.38,1774.71,0,0,0,0,0.0161,0.0071,0.0019,0.0005,0.0001,18486.48,8206.61,2140.27,569.54,196.34,29205.19,29599.25,394.06,-719,1.5,0,848.79,78.16,936.89,2629.04,4098.76,0.08,0,0,2805.59,51.47,2860.86,82.64,86.44,0,0,111.69,33.07,44.19,52.11,0.5,0,0,1.49,0.12,2.09,38.52,5.44,1650.67,58.21,214.43,0,0,0,320.6,0.1,17.48,2,1.01,0.07,0.56,0,46.74,1296.62,311.25,11885.83,0
6,7.39,829.92,726.18,584.76,17.58,454.47,64.92,1817.88,6.36,668.11,668.11,536.38,0.0174,0.0071,0.0019,0.0005,0.0001,20068.76,8177.86,2141.12,574.97,207.68,29599.25,31170.38,1571.13,-3666,4.3,0,1787.04,104.8,936.89,3783.95,5039.61,0.36,1.61,0,2860.86,82.64,2941.21,79.98,77.69,0,0,108.99,62.54,94.87,97.03,1.56,0.16,0,4.3,0.1,6.32,43.49,6.46,1385.3,152.19,243.54,0.34,25.61,0,522.3,0.07,12.99,2,1,0.09,0.62,0,86.39,1957.53,696.29,16983.12,0
7,5.86,670.79,586.94,473.09,17.61,102.99,14.71,411.97,3.04,200.47,200.47,161.16,0.0179,0.0071,0.0019,0.0005,0.0001,20538.34,8166.06,2133.25,575.4,210.65,31170.38,31623.69,453.31,310,4.1,0,1512.35,214.78,936.89,4935.43,7141.98,0.17,4.04,-0.02,2941.21,79.98,3016.96,82.65,78.42,0,0,108.04,57.79,28.59,47.29,0.66,0.13,0,4.05,0.09,6.07,37.93,4.62,1358.84,95.27,191.91,0,31,0,474.6,0.07,12.61,2,1.01,0.09,0.65,0,101.74,1718.12,509.44,17708.12,331.9
8,0.5,1329.07,1162.93,931,1.89,840.77,120.11,3363.07,0,1062.86,1062.86,850.29,0.02,0.0071,0.0018,0.0005,0.0001,22962.3,8119.25,2121.26,569.06,203.72,31623.69,33975.59,2351.9,-4645,8.2,0,3110.74,143.1,1250.89,5630.23,7780.88,2.24,0,-0.04,3016.96,82.65,3131.95,78.93,111.27,0,0,127.11,101.26,161.12,160.1,3.55,0,0,8.17,0.15,11.68,42.26,5.04,1409.19,243.89,189.05,7.54,0,0,483.6,0.06,14.3,2,1.01,0.14,0.6,0,94.81,3072.97,1224.75,26676.18,230.36
9,0,1138.91,996.55,797.24,0,778.69,111.24,3114.77,0,936.48,936.48,749.18,0.0208,0.007,0.0018,0.0005,0.0001,23972.35,8079.78,2115.07,567.94,204.94,33975.59,34940.08,964.49,-758,5.7,0,3410.95,189.4,936.89,7685.72,11254.47,1.34,2.78,-0.1,3131.95,78.93,3245.02,88.33,122.47,0,0,107.26,115.95,151.41,141.5,2.3,0.18,0,5.71,0.16,7.58,36.54,3.25,1422.23,216.61,151.14,2.86,19.66,0,497.2,0.06,13.74,2,1,0.11,0.6,0,89.66,3871.8,1477.13,34830.31,159.89
10,1.49,691.29,604.88,484.98,6.89,369.57,52.8,1478.28,1.13,453.91,453.91,363.29,0.0209,0.007,0.0018,0.0005,0.0001,24057.13,8047.69,2101.86,560.43,196.07,34940.09,34963.18,23.1,4280,9,0,2373.59,177.87,936.89,8952.23,12417.57,0.11,0,-0.19,3245.02,88.33,3324.34,107.34,98.33,0,0,114.28,86.07,73.2,74.81,0.48,0,0,8.97,0.19,12.55,42.79,3.13,1745.19,113.38,135.94,0,0,0,292.2,0.06,18.66,2,1.01,0.09,0.57,0,97.89,3631.93,1213.6,38167.45,110.97
