Year ,Practice,Country,kgSOC_10cm,kgSOC_20cm,kgSOC_30cm,kgSOC_40cm,kgSOC_50cm,Ini_SOC,End_SOC    ,dSOC       ,CH4,N2O_flux,CO2e,CH4_CO2e,N2O_CO2e,GWP
3,Regen,UK_Scotland,37002.81,29648.6,21871.34,16189.47,16769.71,121638,121481.9,-156.05,-0.48,0.01,-572.1833333,-17.92,4.164285714,-585.9390476
4,Regen,UK_Scotland,37038.23,29577.1,21822.05,16159.1,16748.29,121481.9,121344.8,-137.16,-0.47,0.01,-502.92,-17.54666667,4.164285714,-516.302381
5,Regen,UK_Scotland,37081.59,29506.71,21774.44,16129.11,16726.26,121344.8,121218.1,-126.68,-0.46,0.01,-464.4933333,-17.17333333,4.164285714,-477.502381
6,Regen,UK_Scotland,37128.95,29437.8,21728.63,16099.82,16704.33,121218.1,121099.5,-118.6,-0.46,0.01,-434.8666667,-17.17333333,4.164285714,-447.8757143
7,Regen,UK_Scotland,37191.45,29376.51,21695.98,16082.18,16691.07,121099.5,121037.2,-62.32,-0.47,0.01,-228.5066667,-17.54666667,4.164285714,-241.8890476
8,Regen,UK_Scotland,37247.03,29313.59,21659.11,16058.35,16671.79,121037.2,120949.9,-87.31,-0.47,0.02,-320.1366667,-17.54666667,8.328571429,-329.3547619
9,Regen,UK_Scotland,37301.06,29252.14,21622.84,16034.7,16652.47,120949.9,120863.2,-86.66,-0.47,0.02,-317.7533333,-17.54666667,8.328571429,-326.9714286
10,Regen,UK_Scotland,37353.25,29191.05,21586.78,16011.32,16633.27,120863.2,120775.7,-87.52,-0.46,0.02,-320.9066667,-17.17333333,8.328571429,-329.7514286
11,Regen,UK_Scotland,37405.34,29132.25,21551.55,15988.2,16614.1,120775.7,120691.4,-84.23,-0.46,0.02,-308.8433333,-17.17333333,8.328571429,-317.6880952
12,Regen,UK_Scotland,37455.09,29073.76,21516.73,15965.4,16595.43,120691.5,120606.4,-85.03,-0.45,0.02,-311.7766667,-16.8,8.328571429,-320.2480952
13,Regen,UK_Scotland,37543.64,29033.22,21494.51,15950.76,16582.54,120606.4,120604.7,-1.75,-0.59,0.02,-6.416666667,-22.02666667,8.328571429,-20.1147619
14,Regen,UK_Scotland,37619.38,28986.56,21466.99,15931.91,16565.42,120604.7,120570.3,-34.39,-0.59,0.02,-126.0966667,-22.02666667,8.328571429,-139.7947619
15,Regen,UK_Scotland,37691.31,28940.74,21439.56,15913.35,16548.55,120570.2,120533.5,-36.74,-0.58,0.02,-134.7133333,-21.65333333,8.328571429,-148.0380952
16,Regen,UK_Scotland,37760.64,28895.79,21412.97,15895.13,16531.96,120533.5,120496.5,-37,-0.58,0.02,-135.6666667,-21.65333333,8.328571429,-148.9914286
17,Regen,UK_Scotland,37827.81,28851.66,21386.16,15877.11,16515.53,120496.5,120458.3,-38.21,-0.57,0.02,-140.1033333,-21.28,8.328571429,-153.0547619
18,Regen,UK_Scotland,37893.09,28808.25,21359.93,15859.35,16499.35,120458.3,120420,-38.3,-0.57,0.02,-140.4333333,-21.28,8.328571429,-153.3847619
19,Regen,UK_Scotland,37958.06,28765.92,21334.14,15841.68,16482.81,120420,120382.6,-37.36,-0.57,0.02,-136.9866667,-21.28,8.328571429,-149.9380952
20,Regen,UK_Scotland,38020.96,28724.11,21309.52,15824.28,16466.48,120382.6,120345.3,-37.27,-0.57,0.02,-136.6566667,-21.28,8.328571429,-149.6080952
3,Organic,UK_Scotland,36418.34,29567.42,21859.55,16165.89,16720.22,120835.4,120731.4,-104.02,-0.52,0.03,-381.4066667,-19.41333333,12.49285714,-388.3271429
4,Organic,UK_Scotland,36491.22,29500.12,21813.93,16136.01,16696.44,120731.4,120637.7,-93.7,-0.51,0.03,-343.5666667,-19.04,12.49285714,-350.1138095
5,Organic,UK_Scotland,36565.58,29433.81,21768.95,16106.33,16672.23,120637.7,120546.9,-90.81,-0.5,0.03,-332.97,-18.66666667,12.49285714,-339.1438095
6,Organic,UK_Scotland,36638.32,29368.61,21724.71,16076.97,16647.92,120546.9,120456.5,-90.35,-0.49,0.04,-331.2833333,-18.29333333,16.65714286,-332.9195238
7,Organic,UK_Scotland,36742.3,29315.04,21693.26,16058.7,16632.51,120456.5,120441.8,-14.72,-0.61,0.02,-53.97333333,-22.77333333,8.328571429,-68.41809524
8,Organic,UK_Scotland,36835.68,29261.01,21659.64,16037.28,16613.69,120441.8,120407.3,-34.52,-0.61,0.02,-126.5733333,-22.77333333,8.328571429,-141.0180952
9,Organic,UK_Scotland,36923.94,29206.95,21626.11,16016.08,16594.81,120407.3,120367.9,-39.4,-0.6,0.02,-144.4666667,-22.4,8.328571429,-158.5380952
10,Organic,UK_Scotland,37007.78,29153.28,21593.06,15995.18,16576.09,120367.9,120325.4,-42.5,-0.6,0.02,-155.8333333,-22.4,8.328571429,-169.9047619
11,Organic,UK_Scotland,37088.69,29101.31,21560.98,15974.41,16557.46,120325.4,120282.9,-42.55,-0.59,0.02,-156.0166667,-22.02666667,8.328571429,-169.7147619
12,Organic,UK_Scotland,37167.13,29049.92,21529.27,15954.02,16538.95,120282.9,120239.3,-43.59,-0.59,0.02,-159.83,-22.02666667,8.328571429,-173.5280952
13,Organic,UK_Scotland,37249.47,29002.61,21499.53,15933.78,16520.31,120239.3,120205.7,-33.59,-0.6,0.02,-123.1633333,-22.4,8.328571429,-137.2347619
14,Organic,UK_Scotland,37328.52,28955.92,21470.16,15913.81,16501.87,120205.7,120170.3,-35.43,-0.6,0.02,-129.91,-22.4,8.328571429,-143.9814286
15,Organic,UK_Scotland,37404.86,28909.92,21441.28,15894.13,16483.61,120170.3,120133.8,-36.45,-0.6,0.02,-133.65,-22.4,8.328571429,-147.7214286
16,Organic,UK_Scotland,37478.67,28864.52,21412.74,15874.72,16465.56,120133.8,120096.2,-37.58,-0.59,0.02,-137.7933333,-22.02666667,8.328571429,-151.4914286
17,Organic,UK_Scotland,37549.86,28820.5,21384.67,15855.55,16447.66,120096.2,120058.2,-37.99,-0.59,0.02,-139.2966667,-22.02666667,8.328571429,-152.9947619
18,Organic,UK_Scotland,37618.72,28775.84,21356.58,15836.68,16429.96,120058.2,120017.8,-40.45,-0.58,0.02,-148.3166667,-21.65333333,8.328571429,-161.6414286
19,Organic,UK_Scotland,37687.16,28733.69,21329.62,15818.1,16412.48,120017.8,119981,-36.75,-0.59,0.02,-134.75,-22.02666667,8.328571429,-148.4480952
20,Organic,UK_Scotland,37753.26,28691.16,21302.74,15799.77,16395.2,119981,119942.1,-38.9,-0.58,0.02,-142.6333333,-21.65333333,8.328571429,-155.9580952
3,Organic,US_MN,37302.88,36878.66,31016.22,17185.97,12684.71,135059.7,135068.4,8.78,-0.91,0.49,32.19333333,-33.97333333,204.05,202.27
4,Organic,US_MN,37433.96,36830.9,30979.85,17166.87,12671.29,135068.5,135082.9,14.41,-0.9,0.52,52.83666667,-33.6,216.5428571,235.7795238
5,Organic,US_MN,37570.44,36784.79,30944.52,17148,12657.51,135082.9,135105.3,22.41,-0.9,0.54,82.17,-33.6,224.8714286,273.4414286
