site,practice,Year ,GrainC1,LeafC1,StemC1,RootC1,GrainC2,LeafC2,StemC2,RootC2,GrainC3,LeafC3,StemC3,RootC3,SOC 0-10cm,SOC 10-20cm,SOC 20-30cm,SOC 30-40cm,SOC 40-50cm,SOC_0-10cm,SOC_10-20cm,SOC_20-30cm,SOC_30-40cm,SOC_40-50cm,IniSOC     ,End_SOC    ,dSOC       ,ShootLitterC_input,RootLitterC_input,ManureC_input,RootExudation_DOC,Soil-CO2,Leach_C    ,Runoff_C   ,CH4,IniSON     ,IniSIN     ,EndSON     ,EndSIN     ,dSN        ,Atmo_N_input,Fertilizer_N_input,Manure_N_input,Litter_N_input,N_fixation ,Crop_N_uptake,Leach_NO3,Runoff_SON ,Leach_DON  ,N2O_flux,NO_flux    ,N2_flux,NH3_flux,exchengeable-NH4,PET        ,Transpiration,Evaporation,WaterLeach ,Runoff     ,Irrigation ,Precipitation,DeepWater  ,MeanT      ,WindSpeed  ,ColdStress ,WaterStress,N_Stress   ,Cut_CropC  ,yr_end_grain,yr_end_leaf,yr_end_stem,yr_end_root,yr_end_stub
India,regen,3,88,83.97,331.86,167.95,112.99,4519.42,4519.42,2146.73,64.03,39.13,39.13,35.57,0.0533,0.0385,0.0379,0.0379,0.0379,45587.07,32943.38,32407.85,32412,48624.44,186723.13,191974.75,5251.63,4495.8,2194.12,1050,262.47,2753.84,0,0,-0.54,17862.05,10.92,18005.46,9.29,141.79,0,0,105,30.3,62.62,94.49,0.01,0,0,9.81,0.04,0.07,4.74,6.12,708.42,1728.48,4.9,26454.97,0,900,38408.34,72.42,26.98,2,1,0.54,0.5,0,0,0,987.41,343.91,16408.76
India,regen,4,87.78,83.76,331.04,167.53,112.6,4503.93,4503.93,2139.37,56.97,34.81,34.81,31.65,0.0601,0.0387,0.0378,0.0379,0.0379,51411.73,33113.18,32373.73,32378.8,48576.82,191974.73,197854.27,5879.53,6013.16,2185.47,1200,293.83,3816.12,0,0,-0.52,18005.46,9.29,18185.36,8.6,179.21,0,0,120,30.46,61.93,94.3,0.01,0,0,12.67,0.05,0.07,4.78,5.95,708.32,1726.28,4.9,26460.27,0,900,38408.34,72.42,26.98,2,1,0.54,0.49,0,0,0,1313.32,420.14,19819.33
India,regen,5,87.73,83.71,330.81,167.41,112.61,4504.54,4504.54,2139.66,0,0,0,0,0.067,0.0389,0.0378,0.0378,0.0378,57314,33279.06,32339.58,32344.92,48527.07,197854.27,203804.63,5950.36,7035.77,2156.24,1350,320.38,4915.15,0,0,-0.53,18185.37,8.6,18391.14,8.18,205.36,0,0,135,30.06,61.24,94.13,0.01,0,0,15.85,0.06,0.1,4.8,5.51,708.22,590.43,5.37,27605.69,0,900,38408.34,72.42,26.98,2,1,0.48,0.52,0,0,0,1636.93,482.16,22083.89
India,regen,6,87.99,83.96,331.82,167.92,113.28,4531.08,4531.08,2152.26,53.15,32.48,32.48,29.53,0.0738,0.0391,0.0378,0.0378,0.0378,63165.08,33449.18,32305.97,32312.04,48479.86,203804.66,209712.13,5907.47,7757.46,2200.23,1500,341.31,5894.33,0,0,-0.54,18391.14,8.18,18617.51,7.77,225.96,0,0,150,31.11,61.48,96.06,0.01,0,0,18.98,0.08,0.11,4.92,5.1,708.12,1734.45,4.9,26453.61,0,900,38408.34,72.42,26.98,2,1,0.54,0.5,0,0,0,1959.18,533.98,23801.51
India,regen,7,87.74,83.72,330.86,167.44,112.02,4480.9,4480.9,2128.43,52.15,31.87,31.87,28.97,0.0803,0.0393,0.0377,0.0377,0.0377,68656.22,33616.66,32272.66,32279.43,48433,209712.16,215257.97,5545.81,8275.87,2177.26,1500,358.76,6769.06,0,0,-0.55,18617.51,7.77,18853.9,7.14,235.75,0,0,150,31.04,60.77,95.1,0.01,0,0,20.09,0.09,0.13,4.43,4.45,708.02,1726.71,4.9,26461.71,0,900,38408.34,72.42,26.98,2,1,0.53,0.51,0,0,0,2277.79,576.09,24899.08
India,regen,8,88.23,84.19,332.72,168.38,112.36,4494.53,4494.53,2134.91,50.47,30.84,30.84,28.04,0.0862,0.0395,0.0377,0.0377,0.0377,73760.51,33784.83,32239.71,32247.15,48386.53,215257.95,220418.73,5160.78,8617.31,2184.07,1500,373.5,7516.87,0,0,-0.55,18853.9,7.14,19096.43,6.84,242.23,0,0,150,31.32,61.01,95.18,0.01,0,0,20.96,0.09,0.15,4.16,4.16,707.92,1725.51,4.9,26463.61,0,900,38408.34,72.42,26.98,2,1,0.53,0.51,0,0,0,2595.27,611.41,25683
India,regen,9,87.75,83.73,330.92,167.47,112.9,4515.84,4515.84,2145.02,50.61,30.93,30.93,28.12,0.0918,0.0397,0.0376,0.0377,0.0377,78514.87,33953.8,32207,32215.11,48340.38,220418.73,225231.17,4812.44,8863.28,2195.27,1500,386.1,8135.33,0,0,-0.56,19096.43,6.84,19342.96,6.72,246.42,0,0,150,31.57,61.24,95.65,0.01,0,0,21.76,0.09,0.17,3.94,4.03,707.82,1726.81,4.9,26462.29,0,900,38408.34,72.42,26.98,2,1,0.52,0.48,0,0,0,2907.7,639.58,26266.73
India,regen,10,87.72,83.7,330.78,167.4,113.37,4534.84,4534.84,2154.05,52.04,31.8,31.8,28.91,0.097,0.0399,0.0376,0.0376,0.0376,82960.42,34123.61,32174.47,32183.28,48294.59,225231.17,229736.36,4505.19,9049.25,2205.91,1500,396.55,8649.74,0,0,-0.56,19342.96,6.72,19592.25,6.7,249.26,0,0,150,31.84,61.48,96.24,0.01,0,0,22.49,0.1,0.19,3.81,4,707.72,1728.67,4.9,26459.9,0,900,38408.34,72.42,26.98,2,1,0.51,0.49,0,0,0,3216.45,662.56,26709.62
India,regen,11,88.19,84.15,332.56,168.3,113.83,4553.02,4553.02,2162.68,54.17,33.1,33.1,30.09,0.1019,0.0401,0.0376,0.0376,0.0376,87142.32,34294.12,32142.04,32151.58,48249.08,229736.34,233979.14,4242.8,9193.55,2216.43,1500,405.24,9075.68,0,0,-0.57,19592.25,6.7,19843.5,6.72,251.28,0,0,150,32.13,61.71,96.93,0,0,0,23.09,0.09,0.21,3.71,4.02,707.63,1731,4.89,26456.54,0,900,38408.34,72.42,26.98,2,1,0.51,0.5,0,0,0,3523.15,682.09,27054.5
India,regen,12,88.15,84.11,332.42,168.23,112.67,4506.94,4506.94,2140.8,56.74,34.67,34.67,31.52,0.1065,0.0403,0.0375,0.0375,0.0376,91065.39,34462.08,32109.65,32119.98,48203.79,233979.14,237960.89,3981.75,9296,2196.44,1500,412.25,9426.17,0,0,-0.57,19843.5,6.72,20095.65,6.8,252.23,0,0,150,32.06,60.97,96.65,0,0,0,23.55,0.09,0.23,3.65,4.06,707.53,1727.28,4.89,26459.44,0,900,38408.34,72.42,26.98,2,1,0.5,0.52,0,0,0,3825.61,697.97,27213.34
