site,practice,Year ,GrainC1    ,LeafC1     ,StemC1     ,RootC1     ,GrainC2    ,LeafC2     ,StemC2     ,RootC2     ,GrainC3    ,LeafC3     ,StemC3     ,RootC3     ,SOC 0-10cm ,SOC 10-20cm,SOC 20-30cm,SOC 30-40cm,SOC 40-50cm,SOC 0-10cm ,SOC 10-20cm,SOC 20-30cm,SOC 30-40cm,SOC 40-50cm,IniSOC     ,End_SOC    ,dSOC       ,GWP,CO2e,CH4e,N2Oe,ShootLitterC_input,RootLitterC_input,ManureC_input,RootExudation_DOC,Soil-CO2   ,Leach_C    ,Runoff_C   ,CH4        ,IniSON     ,IniSIN     ,EndSON     ,EndSIN     ,dSN        ,Atmo_N_input,Fertilizer_N_input,Manure_N_input,Litter_N_input,N_fixation ,Crop_N_uptake,Leach_NO3  ,Runoff_SON ,Leach_DON  ,N2O_flux   ,NO_flux    ,N2_flux    ,NH3_flux   ,exchengeable-NH4,PET        ,Transpiration,Evaporation,WaterLeach ,Runoff     ,Irrigation ,Precipitation,DeepWater  ,MeanT      ,WindSpeed  ,ColdStress ,WaterStress,N_Stress   ,Cut_CropC  ,yr_end_grain,yr_end_leaf,yr_end_stem,yr_end_root,yr_end_stub
India,organic,1,70.59,67.35,266.19,134.71,0,0,0,0,0,0,0,0,0.0384,0.038,0.038,0.038,0.038,32888.39,32504.45,32503.68,32503.47,48755.71,178789.06,179155.7,366.64,-1344.688358,-1345.5688,-1.75956,2.6400024,137.54,3.82,325,32.35,131.37,0,0,-1.32,17718,2.59,17738.65,1.42,19.49,0,0,37.5,4.08,0,7.44,0,0,0,1.68,0,0.07,0.02,1.37,1048.82,40.84,497.51,542.89,82.34,540,611.9,71.7,12.89,2,0.77,0.92,0.71,0,0.53,0.5,265.56,111.79,0
India,organic,2,70.43,67.2,265.59,134.41,0,0,0,0,0,0,0,0,0.0389,0.038,0.038,0.038,0.038,33288.65,32495.57,32493.28,32493.11,48741.37,179155.73,179511.97,356.23,-1309.023197,-1307.3641,-1.70624,0.0471429,139.65,8.93,390,79.59,261.06,0,0.01,-1.28,17738.65,1.42,17764.73,1.48,26.14,0,0,45,4.73,0,7.64,0,0,0,0.03,0,0.01,0.04,1.4,1048.63,41.76,471.64,542.98,62.64,540,611.9,71.76,12.89,2,0.77,0.92,0.72,0,0.53,0.5,529.14,192.55,0
India,organic,3,70.81,67.57,267.02,135.13,0,0,0,0,0,0,0,0,0.0394,0.038,0.038,0.038,0.038,33723.71,32485.68,32481.77,32481.53,48725.14,179511.98,179897.84,385.86,-1417.671987,-1416.1062,-1.61293,0.0471429,142.21,12.65,455,113.97,337.02,0,0.01,-1.21,17764.73,1.48,17795.64,1.53,30.96,0,0,52.5,5.22,0,7.93,0,0,0,0.03,0,0.01,0.05,1.44,1048.45,43.23,445.93,566.58,63.35,540,611.9,71.97,12.89,2,0.77,0.92,0.74,0,0.53,0.51,792.33,251.67,0
India,organic,4,71.26,68,268.72,135.99,0,0,0,0,0,0,0,0,0.04,0.038,0.038,0.038,0.038,34196.42,32473.25,32468.13,32467.86,48705.64,179897.86,180311.3,413.44,-1518.797277,-1517.3248,-1.51962,0.0471429,145.32,15.38,520,139.22,405.45,0,0.01,-1.14,17795.64,1.53,17831.34,1.59,35.76,0,0,60,5.61,0,8.23,0,0,0,0.03,0,0.01,0.06,1.49,1048.26,44.65,429.43,581.57,63.77,540,611.9,72.16,12.89,2,0.77,0.92,0.75,0,0.53,0.51,1054.97,295.21,0
India,organic,5,71.8,68.51,270.76,137.03,0,0,0,0,0,0,0,0,0.0406,0.0379,0.0379,0.0379,0.0379,34710.58,32459.75,32453.65,32453.38,48684.9,180311.31,180762.27,450.95,-1656.349953,-1654.9865,-1.42631,0.0628572,149.04,17.4,585,157.92,457.38,0,0.01,-1.07,17831.34,1.59,17871.83,1.65,40.56,0,0,67.5,5.92,0,8.53,0,0,0,0.04,0,0.01,0.07,1.54,1048.07,46.13,416.69,592.86,64.05,540,611.9,72.18,12.89,2,0.77,0.92,0.77,0,0.54,0.51,1317.01,327.62,0
India,organic,6,72.34,69.03,272.8,138.06,0,0,0,0,0,0,0,0,0.0412,0.0379,0.0379,0.0379,0.0379,35268.72,32445.72,32438.75,32438.5,48663.5,180762.23,181255.2,492.97,-1810.456713,-1809.1999,-1.31967,0.0628572,153.16,18.92,650,171.91,499.95,0,0.02,-0.99,17871.83,1.65,17917.13,1.73,45.37,0,0,75,6.19,0,8.81,0,0,0,0.04,0,0.01,0.08,1.59,1047.89,47.49,406.82,601.25,64.26,540,611.9,72.19,12.89,2,0.77,0.92,0.78,0,0.54,0.51,1578.01,351.96,0
India,organic,7,72.92,69.58,274.97,139.15,0,0,0,0,0,0,0,0,0.0419,0.0379,0.0379,0.0379,0.0379,35815.38,32431.37,32423.6,32423.35,48641.68,181255.19,181735.38,480.19,-1763.445089,-1762.2973,-1.22636,0.0785715,157.77,20.06,650,182.51,528.98,0,0.02,-0.92,17917.13,1.73,17962.28,1.79,45.21,0,0,75,6.42,0,9.08,0,0,0,0.05,0,0.02,0.09,1.63,1047.7,48.74,397.34,609.31,64.43,540,611.9,72.25,12.89,2,0.77,0.92,0.79,0,0.54,0.52,1837.7,370.5,0
India,organic,8,73.51,70.14,277.21,140.29,0,0,0,0,0,0,0,0,0.0425,0.0379,0.0379,0.0379,0.0379,36355.44,32416.76,32408.21,32408.02,48619.57,181735.34,182208,472.66,-1735.700964,-1734.6622,-1.13305,0.0942858,162.81,20.95,650,190.66,550.55,0,0.02,-0.85,17962.28,1.79,18007.29,1.85,45.07,0,0,75,6.63,0,9.33,0,0,0,0.06,0,0.02,0.1,1.67,1047.52,49.94,392.82,612.53,64.55,540,611.9,72.33,12.89,2,0.77,0.92,0.8,0,0.54,0.52,2095.75,384.88,0
India,organic,9,74.06,70.67,279.27,141.33,0,0,0,0,0,0,0,0,0.0431,0.0379,0.0379,0.0379,0.0379,36892.18,32402.03,32392.72,32392.59,48597.32,182208,182676.84,468.84,-1721.574924,-1720.6428,-1.02641,0.0942858,168.16,21.64,650,197.01,566.65,0,0.02,-0.77,18007.29,1.85,18052.18,1.9,44.94,0,0,75,6.82,0,9.56,0,0,0,0.06,0,0.02,0.11,1.7,1047.34,50.98,385.21,588.95,64.65,510,611.9,72.39,12.89,2,0.77,0.92,0.81,0,0.54,0.52,2351.58,396.16,0
India,organic,10,74.6,71.19,281.33,142.37,0,0,0,0,0,0,0,0,0.0438,0.0379,0.0378,0.0378,0.0379,37428,32387.1,32377.09,32377,48574.86,182676.84,183144.05,467.2,-1715.4471,-1714.624,-0.9331,0.1100001,173.89,22.18,650,202.06,579.58,0,0.02,-0.7,18052.18,1.9,18096.99,1.95,44.85,0,0,75,7,0,9.76,0,0,0,0.07,0,0.02,0.12,1.74,1047.16,51.88,383.67,619.68,64.73,540,611.9,72.42,12.89,2,0.77,0.92,0.82,0,0.55,0.52,2604.8,405.19,0
