Year ,site,practice,GrainC1,LeafC1,StemC1,RootC1,GrainC2,LeafC2,StemC2,RootC2,GrainC3,LeafC3,StemC3,RootC3,%SOC_10cm,%SOC_20cm,%SOC_30cm,%SOC_40cm,%SOC_50cm,kgSOC_10cm,kgSOC_20cm,kgSOC_30cm,kgSOC_40cm,kgSOC_50cm,IniSOC     ,End_SOC    ,dSOC       ,GWP,CO2_GWP,CH4_GWP,N2O_GWP,ShootLitterC_input,RootLitterC_input,ManureC_input,RootExudation_DOC,Soil-CO2,Leach_C    ,Runoff_C   ,CH4,IniSON     ,IniSIN     ,EndSON     ,EndSIN     ,dSN        ,Atmo_N_input,Fertilizer_N_input,Manure_N_input,Litter_N_input,N_fixation ,Crop_N_uptake,Leach_NO3,Runoff_SON ,Leach_DON  ,N2O_flux,NO_flux    ,N2_flux,NH3_flux,exchengeable-NH4,PET        ,Transpiration,Evaporation,WaterLeach ,Runoff     ,Irrigation ,Precipitation,DeepWater  ,MeanT      ,WindSpeed  ,ColdStress ,WaterStress,N_Stress   ,Cut_CropC  ,yr_end_grain,yr_end_leaf,yr_end_stem,yr_end_root,yr_end_stub
1,sd,alfalfa,0,1284.14,1284.14,1027.31,0,224.53,224.53,6286.74,0,0,0,0,0.014,0.0074,0.0022,0.0006,0.0002,16154.22,8566.33,2510.83,745.86,280.3,27021.44,28257.54,1236.1,-4505.483779,-4524.223065,0,18.73928571,1250.24,29.56,312.3,753.96,1109.88,0.07,0,0,2677.82,1.21,2710.77,8.54,40.29,0,0,19.47,38.71,101.71,110.31,0.06,0,0,0.03,0.01,0.06,6.22,3.08,1288.46,143.34,464.69,0,0,0,539.8,0.07,14.35,2,1,0.17,0.56,0,0,600.81,600.81,7113.02,0
2,sd,alfalfa,0,1000.87,1000.87,800.7,0,169.74,169.74,4752.63,0,0,0,0,0.0147,0.0074,0.0022,0.0006,0.0002,16855.4,8526.65,2497.24,742.33,281.85,28257.54,28903.46,645.92,-2083.028635,-2364.117921,0,281.0892857,1210.77,79.15,936.89,2356.94,3937.64,0.15,0,0,2710.77,8.54,2779.17,17.42,77.27,0,0,89.53,43.44,74.76,89.98,0.34,0,0,0.45,0.03,0.64,31.22,3.48,1288.58,118.94,353.05,0,0,0,539.8,0.07,14.35,2,1,0.1,0.6,0,0,593.72,593.72,12169.71,0
3,sd,alfalfa,0,1063.86,1063.86,851.09,0,172.79,172.79,4838.12,0,0,0,0,0.0153,0.0074,0.0022,0.0006,0.0002,17630.53,8488.26,2484.42,739.86,282.39,28903.47,29625.46,722,-2067.905267,-2642.576695,0,574.6714286,1216.17,101.18,936.89,3649.67,5181.73,0.19,0,0,2779.17,17.42,2845.86,27.93,77.2,0,0,97.46,46.18,76.61,93.73,0.47,0,0,0.92,0.05,1.31,36.61,3.47,1288.52,124.13,358.95,0,0,0,539.8,0.07,14.35,2,1,0.11,0.6,0,0,723.15,723.15,17224.41,0
4,sd,alfalfa,0,1078.1,1078.1,862.48,0,174.41,174.41,4883.47,0,0,0,0,0.016,0.0073,0.0021,0.0006,0.0002,18384.8,8450.07,2471.83,736.38,282.5,29625.46,30325.58,700.12,-1712.979891,-2562.494177,0,849.5142857,1328.1,116.19,936.89,4937.96,6618.86,0.22,0,0,2845.86,27.93,2912.08,40.78,79.07,0,0,99.97,51.08,77.34,94.77,0.59,0,0,1.36,0.06,1.92,39.2,3.48,1288.49,125.06,356.22,0,0,0,539.8,0.07,14.35,2,1,0.11,0.6,0,0,832.86,832.86,22241.94,0
5,sd,alfalfa,0,1093.71,1093.71,874.97,0,176.5,176.5,4942.09,0,0,0,0,0.0166,0.0073,0.0021,0.0006,0.0002,19117.02,8412.39,2459.56,732.92,282.41,30325.57,31004.29,678.72,-1353.564926,-2484.168497,0,1130.603571,1410.86,125.67,936.89,6223.26,8017.73,0.25,0,0,2912.08,40.78,2976.9,55.91,79.96,0,0,102.17,54.5,78.27,95.99,0.7,0,0,1.81,0.07,2.54,41.5,3.47,1288.46,126.21,355.31,0,0,0,539.8,0.07,14.35,2,1,0.11,0.6,0,0,937.08,937.08,27271.1,0
6,sd,alfalfa,0,1107.45,1107.45,885.96,0,178.23,178.23,4990.56,0,0,0,0,0.0172,0.0073,0.0021,0.0006,0.0002,19825.76,8375.38,2447.61,729.59,282.2,31004.29,31660.54,656.25,-978.1141516,-2401.926532,-0.373333333,1424.185714,1481.18,131.96,936.89,7513.24,9406.78,0.28,0,-0.01,2976.9,55.91,3040.03,73.09,80.31,0,0,103.96,57.19,79.04,97.03,0.82,0,0,2.28,0.08,3.19,43.51,3.46,1288.44,127.11,354.64,0,0,0,539.8,0.07,14.35,2,1,0.11,0.6,0,0,1036.44,1036.44,32320.22,0
7,sd,alfalfa,0,1118.34,1118.34,894.67,0,179.8,179.8,5034.44,0,0,0,0,0.0178,0.0072,0.0021,0.0006,0.0002,20510.19,8339.03,2435.94,726.33,281.92,31660.54,32293.41,632.87,-587.2131823,-2316.353896,-1.12,1730.260714,1540.61,136.27,936.89,8809.38,10790.06,0.31,0,-0.03,3040.03,73.09,3101.25,92.21,80.33,0,0,105.54,59.35,79.71,97.9,0.93,0,0,2.77,0.09,3.84,45.34,3.45,1288.42,127.76,353.92,0,0,0,539.8,0.07,14.35,2,1,0.11,0.6,0,0,1131.46,1131.46,37394.79,0
8,sd,alfalfa,0,1136.52,1136.52,909.21,0,181.61,181.61,5085.14,0,0,0,0,0.0184,0.0072,0.0021,0.0006,0.0002,21179.05,8303.32,2424.51,723.13,281.59,32293.41,32911.61,618.2,-221.945068,-2262.660544,-1.866666667,2042.582143,1601.1,139.52,936.89,10114.52,12173.58,0.34,0,-0.05,3101.25,92.21,3160.7,112.91,80.16,0,0,106.82,61.4,80.56,99.17,1.05,0,0,3.27,0.09,4.5,46.84,3.43,1288.4,129.02,353.45,0,0,0,539.8,0.07,14.35,2,1,0.11,0.6,0,0,1226.54,1226.54,42513.99,0
9,sd,alfalfa,0,1143.81,1143.81,915.05,0,182.76,182.76,5117.31,0,0,0,0,0.019,0.0072,0.0021,0.0006,0.0002,21820.16,8268.23,2413.32,720,281.21,32911.61,33502.93,591.32,188.0126041,-2164.277634,-2.613333333,2354.903571,1649.13,142.13,936.89,11428.58,13565.15,0.36,0,-0.07,3160.7,112.91,3218.31,135.31,80.01,0,0,108.02,63.03,81.04,99.76,1.16,0,0,3.77,0.1,5.15,48.18,3.42,1288.39,129.29,352.96,0,0,0,539.8,0.07,14.35,2,1,0.11,0.6,0,0,1315.5,1315.5,47654.66,0
10,sd,alfalfa,0,1150.95,1150.95,920.76,0,184.29,184.29,5159.99,0,0,0,0,0.0195,0.0072,0.0021,0.0006,0.0002,22438.85,8233.67,2402.36,716.93,280.81,33502.93,34072.63,569.7,585.3380265,-2085.146736,-2.986666667,2673.471429,1688.45,144.03,936.89,12749.87,14949.26,0.39,0,-0.08,3218.31,135.31,3273.97,159.35,79.69,0,0,109.14,64.33,81.65,100.43,1.26,0,0,4.28,0.11,5.78,49.42,3.4,1288.38,129.62,352.62,0,0,0,539.8,0.07,14.35,2,1,0.11,0.6,0,0,1402.31,1402.31,52831.57,0
11,sd,alfalfa,0,1155.89,1155.89,924.71,0,185.64,185.64,5197.8,0,0,0,0,0.02,0.0071,0.0021,0.0006,0.0002,23035.21,8199.68,2391.58,713.93,280.4,34072.63,34620.79,548.16,969.8777846,-2006.308644,-3.36,2979.546429,1722.27,145.46,936.89,14080.1,16336.26,0.41,0,-0.09,3273.97,159.35,3327.72,184.89,79.29,0,0,110.15,65.42,82.17,100.96,1.34,0,0,4.77,0.12,6.4,50.58,3.39,1288.37,129.74,352.32,0,0,0,539.8,0.07,14.35,2,1,0.11,0.6,0,0,1486.59,1486.59,58041.05,0
12,sd,alfalfa,0,1165.49,1165.49,932.39,0,186.95,186.95,5234.71,0,0,0,0,0.0205,0.0071,0.0021,0.0006,0.0002,23616.75,8166.21,2380.96,710.95,279.96,34620.79,35154.84,534.05,1333.469587,-1954.664936,-3.733333333,3291.867857,1757.79,146.66,936.89,15419.38,17726.37,0.43,0,-0.1,3327.72,184.89,3379.74,211.64,78.77,0,0,111.02,66.53,82.73,101.7,1.42,0,0,5.27,0.13,6.99,51.63,3.37,1288.35,130.22,352.01,0,0,0,539.8,0.07,14.35,2,1,0.11,0.6,0,0,1571.04,1571.04,63287.37,0
13,sd,alfalfa,0,1171.73,1171.73,937.38,0,188.69,188.69,5283.44,0,0,0,0,0.021,0.0071,0.0021,0.0006,0.0002,24179.72,8133.17,2370.5,707.94,279.51,35154.84,35670.85,516.01,1698.952642,-1888.63712,-4.106666667,3591.696429,1789.97,147.8,936.89,16768.86,19127.22,0.45,0,-0.11,3379.74,211.64,3430.11,239.71,78.44,0,0,111.81,67.54,83.41,102.38,1.49,0,0,5.75,0.13,7.54,52.53,3.36,1288.34,130.53,351.65,0,0,0,539.8,0.07,14.35,2,1,0.11,0.6,0,0,1653.61,1653.61,68580.03,0
14,sd,alfalfa,0,1181.44,1181.44,945.15,0,190.08,190.08,5322.36,0,0,0,0,0.0215,0.007,0.0021,0.0006,0.0002,24729.28,8100.59,2360.18,705.03,279.05,35670.85,36174.14,503.29,2038.71765,-1842.080921,-4.48,3885.278571,1822.81,148.87,936.89,18129.72,20534.69,0.47,0,-0.12,3430.11,239.71,3479.07,268.79,78.04,0,0,112.51,68.55,84.01,103.15,1.55,0,0,6.22,0.14,8.07,53.32,3.35,1288.33,131.04,351.44,0,0,0,539.8,0.07,14.35,2,1,0.11,0.6,0,0,1736.48,1736.48,73912.41,0
15,sd,alfalfa,0,1187.93,1187.93,950.35,0,191.42,191.42,5359.77,0,0,0,0,0.022,0.007,0.002,0.0006,0.0002,25263.29,8068.37,2349.99,702.13,278.58,36174.14,36662.38,488.23,2380.800814,-1786.960138,-4.853333333,4172.614286,1852.66,149.94,936.89,19500.31,21951.18,0.5,0,-0.13,3479.07,268.79,3526.68,298.91,77.74,0,0,113.17,69.49,84.54,103.74,1.6,0,0,6.68,0.15,8.57,54.03,3.33,1288.32,131.28,351.04,0,0,0,539.8,0.07,14.35,2,1,0.11,0.6,0,0,1817.6,1817.6,79280.42,0
16,sd,alfalfa,0,1195.6,1195.6,956.48,0,192.82,192.82,5398.98,0,0,0,0,0.0224,0.007,0.002,0.0006,0.0002,25785.11,8036.51,2339.92,699.26,278.11,36662.38,37138.9,476.53,2729.698733,-1744.13722,-4.853333333,4478.689286,1881.17,150.94,936.89,20880.36,23372.48,0.52,0,-0.13,3526.68,298.91,3573.04,330.09,77.53,0,0,113.79,70.37,85.11,104.41,1.65,0,0,7.17,0.15,9.08,54.5,3.32,1288.31,131.63,350.63,0,0,0,539.8,0.07,14.35,2,1,0.11,0.6,0,0,1898.54,1898.54,84687.29,0
17,sd,alfalfa,0,1203.29,1203.29,962.63,0,194.1,194.1,5434.79,0,0,0,0,0.0228,0.007,0.002,0.0006,0.0002,26268.75,8005.55,2330.03,696.43,277.67,37138.91,37578.44,439.53,3020.909019,-1608.714314,-5.226666667,4634.85,1981.2,151.93,803.05,22270.07,24766.36,0.53,0,-0.14,3573.04,330.09,3613.2,359.13,69.2,0,0,100.25,73.26,85.64,105.05,1.53,0,0,7.42,0.15,9.51,51.42,3.3,1288.28,131.95,350.46,0,0,0,539.8,0.07,14.35,2,1,0.11,0.6,0,0,2002.75,2002.75,90129.64,0
18,sd,alfalfa,0,1212.64,1212.64,970.11,0,195.99,195.99,5487.75,0,0,0,0,0.0233,0.0069,0.002,0.0006,0.0002,26765.29,7973.77,2320.1,693.43,277.15,37578.44,38029.73,451.29,2915.40221,-1651.756838,-5.226666667,4572.385714,1973.46,152.95,936.89,23670.69,26282.28,0.56,0,-0.14,3613.2,359.13,3658.75,393.85,80.27,0,0,114.56,73.14,86.41,105.92,1.65,0,0,7.32,0.16,8.86,54.97,3.3,1288.29,132.53,349.02,0,0,0,539.8,0.07,14.35,2,1,0.11,0.6,0,0,2063.69,2063.69,95625.76,0
19,sd,alfalfa,0,1222.81,1222.81,978.25,0,196.9,196.9,5513.21,0,0,0,0,0.0237,0.0069,0.002,0.0006,0.0002,27257.4,7942.85,2310.35,690.68,276.66,38029.73,38477.95,448.22,3638.731508,-1640.520397,-5.226666667,5284.478571,1970.61,154.07,936.89,25082.39,27695.31,0.58,0,-0.14,3658.75,393.85,3702.56,427.23,77.19,0,0,115.31,73.16,86.83,106.58,1.73,0,0,8.46,0.17,10.28,55.82,3.29,1288.28,132.96,349.48,0,0,0,539.8,0.07,14.35,2,1,0.11,0.6,0,0,2143.63,2143.63,101148.19,0
20,sd,alfalfa,0,1228.3,1228.3,982.64,0,198.06,198.06,5545.56,0,0,0,0,0.0241,0.0069,0.002,0.0006,0.0002,27740.94,7912.12,2300.68,687.89,276.18,38477.95,38917.8,439.85,3950.082318,-1609.885539,-5.6,5565.567857,1993.63,155.15,936.89,26501,29146.42,0.59,0,-0.15,3702.56,427.23,3745.44,461.36,77.01,0,0,115.78,73.9,87.29,107.09,1.75,0,0,8.91,0.17,10.67,56.2,3.27,1288.27,133.09,349.03,0,0,0,539.8,0.07,14.35,2,1,0.11,0.6,0,0,2222.55,2222.55,106700.3,0
1,sd,rye,0,978.46,978.46,782.77,0,64.9,64.9,70.54,0,0,0,0,0.0137,0.0074,0.0022,0.0006,0.0002,15754.94,8558.96,2503.65,737.27,266.08,27021.44,27820.89,799.46,-2907.347092,-2926.086378,0,18.73928571,838.73,22.43,312.3,88.87,462.82,0.05,0,0,2677.82,1.21,2696.81,7.54,25.33,0,0,14.35,26.27,20.58,28.83,0.04,0,0,0.03,0.01,0.06,4.69,3.08,1288.72,141.67,456.58,0,0,0,539.8,0.08,14.35,2,1,0.18,0.47,0,0,317.13,317.13,697.75,0
2,sd,rye,0,329.4,329.4,263.52,0,132.66,132.66,144.19,0,0,0,0,0.0137,0.0074,0.0022,0.0006,0.0002,15733.18,8523.14,2492.88,736.39,269.17,27820.89,27754.76,-66.13,379.4624215,242.0409929,0,137.4214286,209.88,50.03,936.89,187.43,1450.26,0.07,0,0,2696.81,7.54,2714.14,8.49,18.27,0,0,37.94,11.82,5.21,18.84,0.17,0,0,0.22,0.01,0.33,12.21,3.48,1289.07,85.09,338.9,0,0,0,539.8,0.08,14.35,2,1,0.05,0.52,0,0,134.56,134.56,792.26,0
3,sd,rye,0,334.67,334.67,267.74,0,144.73,144.73,157.31,0,0,0,0,0.0138,0.0074,0.0022,0.0006,0.0002,15874.76,8488.35,2481.69,733.75,268.94,27754.76,27847.47,92.71,-214.3973087,-339.3258801,0,124.9285714,133.74,46.8,905.56,216.87,1210.18,0.07,0,0,2714.14,8.49,2725.35,8.76,11.5,0,0,34.86,9.29,5.16,20.19,0.17,0,0,0.2,0.02,0.29,12.35,3.46,1289.06,85.21,345.52,0,0,0,539.8,0.08,14.35,2,1,0.05,0.53,0,0,174.26,174.26,924.26,0
4,sd,rye,0,333.69,333.69,266.95,0,148.53,148.53,161.44,0,0,0,0,0.0139,0.0074,0.0021,0.0006,0.0002,16037.15,8454.59,2471.1,731.17,268.65,27847.48,27962.66,115.18,-215.4357016,-421.5678445,0,206.1321429,152.18,45.06,936.89,252.52,1271.41,0.07,0,0,2725.35,8.76,2736.34,9,11.23,0,0,35.87,9.6,5.13,20.48,0.18,0,0,0.33,0.02,0.48,13.45,3.45,1289.05,84.92,344.24,0,0,0,539.8,0.08,14.35,2,1,0.05,0.53,0,0,211.67,211.67,1070.3,0
5,sd,rye,0,337.6,337.6,270.08,0,152.38,152.38,165.63,0,0,0,0,0.0141,0.0073,0.0021,0.0006,0.0002,16194.99,8421.51,2460.82,728.66,268.35,27962.66,28074.33,111.67,-158.863826,-408.7209689,0,249.8571429,178.36,44.11,936.89,291.71,1339.31,0.07,0,0,2736.34,9,2746.71,9.24,10.6,0,0,35.76,10.22,5.18,20.93,0.19,0,0,0.4,0.02,0.59,14.07,3.45,1289.05,85.06,343.9,0,0,0,539.8,0.08,14.35,2,1,0.05,0.53,0,0,250.18,250.18,1229.54,0
6,sd,rye,0,338.98,338.98,271.18,0,156.29,156.29,169.88,0,0,0,0,0.0142,0.0073,0.0021,0.0006,0.0002,16345.57,8389.08,2450.83,726.21,268.03,28074.33,28179.71,105.38,-85.8705036,-385.699075,0,299.8285714,201.96,43.73,936.89,333.58,1410.7,0.07,0,0,2746.71,9.24,2756.5,9.46,10.01,0,0,35.65,10.84,5.17,21.29,0.2,0,0,0.48,0.02,0.7,14.64,3.44,1289.04,85.59,342.91,0,0,0,539.8,0.08,14.35,2,1,0.05,0.53,0,0,288.58,288.58,1396.84,0
7,sd,rye,0,344.01,344.01,275.21,0,159.36,159.36,173.22,0,0,0,0,0.0143,0.0073,0.0021,0.0006,0.0002,16492.34,8357.24,2441.08,723.79,267.68,28179.72,28282.14,102.42,-31.31167116,-374.8652426,0,343.5535714,226.72,43.67,936.89,377.47,1482.25,0.08,0,0,2756.5,9.46,2765.83,9.68,9.55,0,0,35.55,11.52,5.24,21.71,0.22,0,0,0.55,0.02,0.8,15.18,3.44,1289.03,86.17,342.27,0,0,0,539.8,0.08,14.35,2,1,0.05,0.53,0,0,328.14,328.14,1571.7,0
8,sd,rye,0,347.58,347.58,278.06,0,162.66,162.66,176.81,0,0,0,0,0.0145,0.0072,0.0021,0.0006,0.0002,16633.71,8325.93,2431.51,721.42,267.3,28282.13,28379.87,97.74,23.29606784,-357.7360751,0,381.0321429,249.81,43.86,936.89,422.97,1555.7,0.08,0,0,2765.83,9.68,2774.74,9.89,9.12,0,0,35.46,12.19,5.27,22.09,0.23,0,0,0.61,0.02,0.89,15.66,3.43,1289.02,86.84,341.67,0,0,0,539.8,0.08,14.35,2,1,0.05,0.53,0,0,368.08,368.08,1751.64,0
9,sd,rye,0,354.83,354.83,283.86,0,163.56,163.56,177.79,0,0,0,0,0.0146,0.0072,0.0021,0.0006,0.0002,16772.51,8295.07,2422.03,719.08,266.91,28379.87,28475.6,95.73,68.13139707,-350.3793172,0,418.5107143,273.92,44.25,936.89,469.71,1628.98,0.08,0,0,2774.74,9.89,2783.33,10.1,8.79,0,0,35.39,12.9,5.36,22.5,0.24,0,0,0.67,0.02,0.98,16.11,3.42,1289.01,86.74,341.78,0,0,0,539.8,0.08,14.35,2,1,0.05,0.53,0,0,407.71,407.71,1935.94,0
10,sd,rye,0,355.48,355.48,284.38,0,167.29,167.29,181.84,0,0,0,0,0.0147,0.0072,0.0021,0.0006,0.0002,16904.11,8264.66,2412.68,716.77,266.48,28475.61,28564.7,89.09,129.9128899,-326.0763958,0,455.9892857,293.15,44.71,936.89,517.09,1702.67,0.08,0,0,2783.33,10.1,2791.51,10.3,8.38,0,0,35.3,13.49,5.35,22.81,0.25,0,0,0.73,0.02,1.06,16.5,3.41,1289.01,87.16,340.89,0,0,0,539.8,0.08,14.35,2,1,0.05,0.53,0,0,447.26,447.26,2121.92,0
11,sd,rye,0,357.17,357.17,285.74,0,170.21,170.21,185.01,0,0,0,0,0.0148,0.0072,0.0021,0.0006,0.0002,17031.15,8234.65,2403.44,714.48,266.04,28564.69,28649.77,85.08,182.0683762,-311.3994809,0,493.4678571,311.13,45.03,936.89,565.04,1772.93,0.09,0,0,2791.51,10.3,2799.3,10.49,7.98,0,0,35.21,14.03,5.35,23.11,0.26,0,0,0.79,0.02,1.15,16.85,3.41,1289,87.56,340.12,0,0,0,539.8,0.08,14.35,2,1,0.05,0.53,0,0,487.67,487.67,2310.39,0
