site,practice,Year ,GrainC1,LeafC1,StemC1,RootC1,GrainC2,LeafC2,StemC2,RootC2,GrainC3,LeafC3,StemC3,RootC3,%SOC_10cm,%SOC_20cm,%SOC_30cm,%SOC_40cm,%SOC_50cm,kgSOC_10cm,kgSOC_20cm,kgSOC_30cm,kgSOC_40cm,kgSOC_50cm,IniSOC     ,End_SOC    ,dSOC       ,GWP,CO2_GWP,CH4_GWP,N2O_GWP,ShootLitterC_input,RootLitterC_input,ManureC_input,RootExudation_DOC,Soil-CO2,Leach_C    ,Runoff_C   ,CH4,IniSON     ,IniSIN     ,EndSON     ,EndSIN     ,dSN        ,Atmo_N_input,Fertilizer_N_input,Manure_N_input,Litter_N_input,N_fixation ,Crop_N_uptake,Leach_NO3,Runoff_SON ,Leach_DON  ,N2O_flux,NO_flux    ,N2_flux,NH3_flux,exchengeable-NH4,PET        ,Transpiration,Evaporation,WaterLeach ,Runoff     ,Irrigation ,Precipitation,DeepWater  ,MeanT      ,WindSpeed  ,ColdStress ,WaterStress,N_Stress   ,Cut_CropC  ,yr_end_grain,yr_end_leaf,yr_end_stem,yr_end_root,yr_end_stub
BZ,organic,1,119.99,2161.53,2161.53,1753.39,0,0,0,0,0,0,0,0,0.0347,0.0193,0.0057,0.0017,0.0004,39989.39,22270.92,6525.08,1920.55,685.46,70840.41,71391.41,551.01,802.2108458,-2016.739868,-48.16,2867.110714,1485.19,35.65,624.59,146.21,1601.24,140.66,0,-1.29,7020.28,1.21,7010.22,40.94,29.67,0,0,29.34,46.05,44.24,70.03,3.63,0,0,4.59,0.02,0.09,8.08,11.85,559.13,117.54,399.6,21290.49,0,0,22234,64.04,26.97,2,1,0.27,0.16,0,48.54,781.31,781.31,1539.06,0
BZ,organic,2,121.06,2732.11,2732.11,2210.07,0,0,0,0,0,0,0,0,0.0357,0.0191,0.0056,0.0016,0.0004,41158.44,22028.21,6458.7,1901.92,679.06,71391.41,72226.33,834.91,158.5062191,-3055.836162,-46.29333333,3260.635714,2482.92,76.23,936.89,425.85,2842.82,245.39,0,-1.24,7010.22,40.94,7036,41.6,26.43,0,0,43.99,78.91,44.44,111.26,4.5,0,0,5.22,0.02,0.13,12.27,12.08,558.91,185.98,304.24,21316.18,0,0,22234,64.04,26.97,2,1,0.27,0.2,0,65.2,1314.15,1314.15,3290.85,0
BZ,organic,3,122.84,2772.39,2772.39,2242.64,0,0,0,0,0,0,0,0,0.0366,0.0189,0.0055,0.0016,0.0004,42170.86,21796.12,6394.61,1883.87,672.86,72226.34,72918.34,691.99,927.4553569,-2532.737739,-44.05333333,3504.246429,3041.56,112.5,936.89,681.86,3783.81,297.85,0,-1.18,7036,41.6,7073.76,42.08,38.24,0,0,43.97,98.88,44.65,113.75,5.07,0,0,5.61,0.03,0.14,13.58,12.55,558.78,189.35,274.03,21343.19,0,0,22234,64.04,26.97,2,1,0.27,0.2,0,76.2,1611.66,1611.66,4857.08,0
BZ,organic,4,124.86,2813.79,2813.79,2276.14,0,0,0,0,0,0,0,0,0.0374,0.0187,0.0055,0.0016,0.0004,43081.22,21574.04,6333.2,1866.54,666.92,72918.34,73521.91,603.57,1590.253309,-2209.113596,-42.18666667,3841.553571,3372.93,145.03,936.89,911.03,4424.06,339.32,0,-1.13,7073.76,42.08,7115.53,42.77,42.47,0,0,43.96,111.99,44.85,116.32,5.94,0,0,6.15,0.04,0.15,15.45,13.18,558.71,192.85,260.68,21353.09,0,0,22234,64.04,26.97,2,1,0.27,0.2,0,83.21,1787.89,1787.89,6261.27,0
BZ,organic,5,126.91,2858.57,2858.57,2312.35,0,0,0,0,0,0,0,0,0.0381,0.0185,0.0054,0.0016,0.0004,43919.48,21360.47,6274.01,1849.8,661.17,73521.91,74064.94,543.02,2219.755588,-1987.495841,-40.32,4247.571429,3589.3,174.31,936.89,1117.02,4902.1,373.62,0,-1.08,7115.53,42.77,7157.56,43.53,42.79,0,0,43.94,121.48,45.05,119.15,6.95,0,0,6.8,0.05,0.17,17.41,13.83,558.67,196.74,253.11,21356.8,0,0,22234,64.04,26.97,2,1,0.27,0.21,0,87.99,1902.86,1902.86,7525.6,0
BZ,organic,6,128.91,2902.49,2902.49,2347.87,0,0,0,0,0,0,0,0,0.0388,0.0183,0.0054,0.0016,0.0004,44701.41,21154.28,6216.86,1833.62,655.61,74064.93,74561.78,496.85,2846.597365,-1818.510015,-38.45333333,4703.560714,3744.98,200.74,936.89,1302.73,5287.09,402.7,0,-1.03,7157.56,43.53,7198.23,44.23,41.37,0,0,43.92,128.92,45.26,121.91,8,0,0,7.53,0.06,0.2,19.29,14.44,558.64,200.49,248.31,21357.88,0,0,22234,64.04,26.97,2,1,0.27,0.21,0,91.52,1985.53,1985.53,8666.56,0
BZ,organic,7,130.83,2943.87,2943.87,2381.34,0,0,0,0,0,0,0,0,0.0394,0.0182,0.0053,0.0016,0.0004,45436.29,20954.24,6161.38,1817.9,650.2,74561.78,75020.01,458.23,3495.77698,-1677.157783,-36.58666667,5209.521429,3866.6,224.62,936.89,1470.42,5613.47,427.72,0,-0.98,7198.23,44.23,7236.81,44.91,39.26,0,0,43.91,135.1,45.46,124.48,9.01,0,0,8.34,0.07,0.24,20.99,14.98,558.61,203.91,244.86,21357.93,0,0,22234,64.04,26.97,2,1,0.27,0.21,0,94.36,2050.09,2050.09,9697.42,0
BZ,organic,8,132.64,2983.59,2983.59,2413.46,0,0,0,0,0,0,0,0,0.04,0.018,0.0053,0.0016,0.0004,46131.64,20759.78,6107.41,1802.59,644.94,75020.01,75446.37,426.36,4157.729634,-1560.51108,-34.72,5752.960714,3968.85,246.23,936.89,1622.08,5899.68,449.47,0,-0.93,7236.81,44.91,7273.18,45.42,36.88,0,0,43.89,140.46,45.66,126.93,9.93,0,0,9.21,0.08,0.28,22.51,15.45,558.59,207.1,242.07,21357.52,0,0,22234,64.04,26.97,2,1,0.27,0.21,0,96.76,2104.35,2104.35,10630.47,0
BZ,organic,9,134.36,3019.89,3019.89,2442.82,0,0,0,0,0,0,0,0,0.0406,0.0178,0.0053,0.0016,0.0004,46790.23,20570.11,6054.72,1787.64,639.81,75446.37,75842.51,396.14,4851.121731,-1449.903507,-32.85333333,6333.878571,4057.71,265.8,936.89,1759.37,6155.95,468.54,0,-0.88,7273.18,45.42,7307.23,45.91,34.53,0,0,43.88,145.2,45.85,129.13,10.77,0,0,10.14,0.09,0.33,23.84,15.86,558.58,209.86,239.72,21357.11,0,0,22234,64.04,26.97,2,1,0.27,0.21,0,98.88,2151.48,2151.48,11475.23,0
BZ,organic,10,135.98,3052.98,3052.98,2469.61,0,0,0,0,0,0,0,0,0.0411,0.0177,0.0052,0.0015,0.0004,47416.26,20384.55,6003.2,1773.02,634.78,75842.51,76211.81,369.3,5581.740858,-1351.666999,-31.36,6964.767857,4136.46,283.52,936.89,1883.66,6386.98,485.33,0,-0.84,7307.23,45.91,7339.17,46.19,32.23,0,0,43.86,149.43,46.05,131.09,11.51,0,0,11.15,0.1,0.38,25.05,16.16,558.56,212.23,237.82,21356.66,0,0,22234,64.04,26.97,2,1,0.27,0.22,0,100.81,2193.24,2193.24,12240.25,0
BZ,organic,11,137.51,3083.08,3083.08,2493.98,0,0,0,0,0,0,0,0,0.0416,0.0175,0.0052,0.0015,0.0004,48011.67,20202.8,5952.73,1758.65,629.84,76211.8,76555.68,343.88,6363.753863,-1258.627803,-29.49333333,7651.875,4207.06,299.57,936.89,1996.22,6596.47,500.16,0,-0.79,7339.17,46.19,7369.04,46.25,29.93,0,0,43.85,153.24,46.25,132.83,12.21,0,0,12.25,0.11,0.45,26.16,16.3,558.55,214.22,236.06,21356.44,0,0,22234,64.04,26.97,2,1,0.27,0.22,0,102.58,2230.64,2230.64,12933.14,0
BZ,organic,12,138.94,3109.56,3109.56,2515.44,0,0,0,0,0,0,0,0,0.0421,0.0174,0.0051,0.0015,0.0004,48578.46,20024.5,5903.13,1744.53,624.98,76555.68,76875.61,319.93,7171.245363,-1170.968923,-28,8370.214286,4269.88,314.09,936.89,2098.11,6786.62,513.28,0,-0.75,7369.04,46.25,7396.96,46.19,27.87,0,0,43.83,156.64,46.44,134.3,12.79,0,0,13.4,0.12,0.52,27.11,16.39,558.54,215.78,234.5,21356.44,0,0,22234,64.04,26.97,2,1,0.27,0.22,0,104.22,2263.9,2263.9,13560.17,0
