Site,Practice,Year ,GrainC1    ,LeafC1     ,StemC1     ,RootC1     ,GrainC2    ,LeafC2     ,StemC2     ,RootC2     ,GrainC3    ,LeafC3     ,StemC3     ,RootC3     ,%SOC_10cm ,%SOC_20cm,%SOC_30cm,%SOC_40cm,%SOC_50cm,kgSOC_10cm ,kgSOC_20cm,kgSOC_30cm,kgSOC_40cm,kgSOC_50cm,IniSOC     ,End_SOC    ,dSOC       ,GWP,CO2_GWP,CH4_GWP,N2O_GWP,ShootLitterC_input,RootLitterC_input,ManureC_input,RootExudation_DOC,Soil-CO2   ,Leach_C    ,Runoff_C   ,CH4        ,IniSON     ,IniSIN     ,EndSON     ,EndSIN     ,dSN        ,Atmo_N_input,Fertilizer_N_input,Manure_N_input,Litter_N_input,N_fixation ,Crop_N_uptake,Leach_NO3  ,Runoff_SON ,Leach_DON  ,N2O_flux   ,NO_flux    ,N2_flux    ,NH3_flux   ,exchengeable-NH4,PET        ,Transpiration,Evaporation,WaterLeach ,Runoff     ,Irrigation ,Precipitation,DeepWater  ,MeanT      ,WindSpeed  ,ColdStress ,WaterStress,N_Stress   ,Cut_CropC  ,yr_end_grain,yr_end_leaf,yr_end_stem,yr_end_root,yr_end_stub
sd,regen,1,2781,1064.95,1064.95,505.85,1924.55,103,103,2883.91,93.97,1483.69,1483.69,1203.66,0.0146,0.0076,0.0022,0.0006,0.0002,16746.44,8718.83,2525.56,744.09,279.7,27021.44,29014.63,1993.19,-7282.738434,-7295.231916,0,12.49348178,1260.08,529.45,1003.16,727.87,1526.22,1.18,0,0,2677.82,1.21,2734.07,6,61.04,0,0,58.41,43.79,160.93,177.59,0.22,0,0,0.03,0.01,0.05,9.81,3.12,848.22,692.06,223.71,12.28,0.32,0,981.4,0.08,14.16,2,1,0.32,0.6,0,2121.16,933.65,933.65,4191.55,4323.47
sd,regen,2,2662.6,644.06,80.51,2254.22,228.08,715.73,5010.12,2822.9,85.2,220.3,144.77,157.36,0.017,0.0075,0.0022,0.0006,0.0002,19575.29,8650.49,2510.1,740.94,278.11,29014.63,31754.93,2740.31,-10021.42079,-10029.74978,0,8.328987855,4543.34,83.17,936.89,1780.1,4596.39,6.74,0.03,0,2734.07,6,2880.64,4.98,145.55,0,0,84.39,100.5,179,202.05,0.15,0,0,0.02,0.02,0.04,22.02,3.06,847.48,627.31,89.83,74.48,0.32,0,981.4,64.04,14.16,2,1,0.43,0.56,0,5075.46,1751.43,3178.77,9044.71,3000.79
sd,regen,3,2442.9,775.13,96.89,2712.96,223.42,806,5641.97,3328.53,89.6,220.03,144.59,157.17,0.0192,0.0075,0.0022,0.0006,0.0002,22074.16,8577.43,2493.8,737.85,278.55,31754.94,34161.79,2406.86,-8793.38529,-8809.296599,-0.746666667,16.65797572,5576.77,150.28,936.89,3193.18,7440.55,9.67,0.05,-0.02,2880.64,4.98,3051.97,6.34,172.69,0,0,86.39,148.84,185.94,214.32,0.19,0,0,0.04,0.02,0.04,23.04,3.18,845.71,709.09,101.39,89.52,0.32,0,981.4,64.04,14.16,2,1,0.45,0.56,0,7815.31,2862.24,4651.88,14467.03,2082.76
sd,regen,4,2514.84,757.1,94.64,2649.84,225.23,816.36,5714.55,3370.32,105.99,348.84,229.24,249.17,0.0212,0.0074,0.0022,0.0006,0.0002,24420.58,8508.21,2478.28,734.68,278.67,34161.79,36420.42,2258.63,-8235.687209,-8266.76316,-2.24,33.31595143,6076.06,210.16,1250.89,4646.79,9914.5,10.78,0.06,-0.06,3051.97,6.34,3239.03,9.07,189.79,0,0,109.28,177.79,186.27,226.73,0.61,0,0,0.08,0.04,0.04,26.9,3.29,844.01,722.61,101.96,70.24,0.32,0,981.4,64.04,14.16,2,1,0.45,0.56,0,10686.27,4136.31,5675.51,19675.52,1445.58
sd,regen,5,2456.45,763.41,95.43,2671.93,222.73,818.48,5729.35,3387.01,117.2,327.49,215.21,233.92,0.023,0.0073,0.0021,0.0006,0.0002,26405.17,8442.75,2463.15,731.31,278.35,36420.42,38320.73,1900.31,-6912.834389,-6955.283822,-3.36,45.80943322,6290.97,261.38,936.89,6009.53,11586.58,11.94,0.07,-0.09,3239.03,9.07,3413.98,11.01,176.89,0,0,90.22,195.28,184.5,225.67,0.45,0,0,0.11,0.04,0.04,28.63,3.31,842.31,723.17,108.71,60.89,0.32,0,981.4,64.04,14.16,2,1,0.45,0.56,0,13528.04,5327.2,6372.36,24541.95,1003.33
sd,regen,6,2477.51,767.53,95.94,2686.36,226.16,830.89,5816.2,3439.19,126.92,380.15,249.81,271.54,0.0246,0.0073,0.0021,0.0006,0.0002,28312.11,8380.51,2448.59,728.02,278.01,38320.73,40147.23,1826.5,-6618.817029,-6685.133426,-4.48,70.79639678,6429,305.96,936.89,7313.29,13146.15,12.6,0.07,-0.12,3413.98,11.01,3583.59,13.42,172.03,0,0,91.77,208.14,185.53,232.2,0.56,0,0,0.17,0.05,0.05,30.89,3.35,840.63,732.14,110.92,52.18,0.32,0,981.4,60.7,14.16,2,1,0.45,0.56,0,16440.62,6600.83,7032.15,29280.93,696.38
sd,regen,7,2512.19,759.89,94.99,2659.6,226.72,826.81,5787.7,3415.37,140.48,447.86,294.31,319.9,0.0262,0.0072,0.0021,0.0006,0.0002,30106.48,8321.5,2434.6,724.81,277.67,40147.24,41865.07,1717.83,-6176.01353,-6287.392693,-5.226666667,116.60583,6483.02,343.43,936.89,8574.39,14606.96,13.02,0.08,-0.14,3583.59,13.42,3745.9,15.63,164.52,0,0,92.75,216.62,185.45,237.36,0.65,0,0,0.28,0.06,0.06,32.93,3.37,838.96,738.41,110.05,44.98,0.32,0,981.4,52.7,14.16,2,1,0.45,0.56,0,19433,7948.29,7647.53,33817.64,483.34
sd,regen,8,2530.2,753.72,94.21,2638.01,228.71,835.33,5847.31,3453.94,156.31,601.57,395.32,429.69,0.0278,0.0072,0.0021,0.0006,0.0002,31983.31,8264.76,2421.03,721.7,277.37,41865.07,43668.17,1803.1,-6401.027387,-6599.487589,-5.6,204.0602025,6544.08,375.7,1250.89,9819.31,16173.49,13.5,0.08,-0.15,3745.9,15.63,3910.36,18.01,166.84,0,0,114.02,223.87,185.12,248.99,1.08,0.01,0,0.49,0.08,0.07,35.55,3.4,837.29,748.16,106.76,35.34,0.32,0,981.4,47.72,14.16,2,1,0.45,0.56,0,22511.5,9524.11,8411.17,38368.52,335.47
sd,regen,9,2524.72,741.33,92.67,2594.66,232.7,837.39,5861.76,3441.5,160.74,557.66,366.46,398.33,0.0293,0.0071,0.0021,0.0006,0.0002,33645.93,8210.43,2407.79,718.58,276.93,43668.18,45259.66,1591.48,-5580.672135,-5824.941771,-5.6,249.8696357,6593.94,402.78,936.89,11010.91,17338.26,14.92,0.08,-0.15,3910.36,18.01,4059.59,19.17,150.39,0,0,93.07,229.64,184.05,245.84,0.67,0.01,0,0.6,0.08,0.09,35.79,3.38,835.63,747.57,106.82,35.49,0.33,0,981.4,44.79,14.16,2,1,0.45,0.56,0,25612.56,10996.34,9087,42614.53,232.84
sd,regen,10,2523.09,744.69,93.09,2606.43,231.6,836.73,5857.11,3438.06,173.11,594.45,390.64,424.61,0.0306,0.0071,0.0021,0.0006,0.0002,35232.3,8158.19,2394.91,715.52,276.51,45259.66,46777.43,1517.77,-5227.971202,-5555.157383,-5.973333333,333.1595143,6622.7,425.54,936.89,12156.64,18609.04,15.1,0.08,-0.16,4059.59,19.17,4202.72,20.58,144.53,0,0,93.11,233.91,183.88,248.81,0.71,0.01,0,0.8,0.08,0.11,37,3.42,833.97,750.18,104.25,33.37,0.33,0,981.4,41.08,14.16,2,1,0.45,0.56,0,28757.76,12520.49,9771.47,46774.41,161.61
