Year ,Practice,Country,Grain,SOC_10cm,SOC_20cm,SOC_30cm,SOC_40cm,SOC_50cm,Ini_SOC,End_SOC    ,dSOC       ,Shoot,Root_Litter,Manure,Root_Exudation,Leach,Runoff,CH4_C,N2O_N,CO2,CH4,N2O,GWP
1,Organic,China,631.81,5873.28,5882.6,5882.95,5083.44,2964.32,25340.18,25686.59,346.41,0,544.15,0,60.1,14.26,0.02,0,6.63,1270.17,0,2760.921429,4031.091429
2,Organic,China,418.51,5794.81,5800.13,5800.07,5017.13,2949.76,25686.59,25361.9,-324.69,0,0,0,0,68.34,0.06,0,6.43,-1190.53,0,2677.635714,1487.105714
3,Organic,China,453.26,5726.62,5730.16,5730.11,4960.32,2932.65,25361.9,25079.86,-282.04,0,0,0,0,63.29,0.06,0,7.22,-1034.146667,0,3006.614286,1972.467619
4,Organic,China,460.39,5672.71,5675.33,5675.29,4915.4,2916.85,25079.86,24855.58,-224.28,0,0,0,0,49.79,0.05,0,6.91,-822.36,0,2877.521429,2055.161429
5,Organic,China,462.8,5627.41,5629.43,5629.41,4877.42,2901.87,24855.58,24665.54,-190.04,0,0,0,0,42.14,0.04,0,6.64,-696.8133333,0,2765.085714,2068.272381
6,Organic,China,462.51,5587.66,5589.28,5589.26,4843.94,2887.56,24665.54,24497.69,-167.85,0,0,0,0,36.84,0.04,0,6.45,-615.45,0,2685.964286,2070.514286
7,Organic,China,460.77,5551.61,5552.95,5552.93,4813.47,2873.8,24497.69,24344.76,-152.93,0,0,0,0,32.92,0.04,0,6.29,-560.7433333,0,2619.335714,2058.592381
8,Organic,China,458.34,5518.17,5519.31,5519.29,4785.15,2860.51,24344.76,24202.43,-142.33,0,0,0,0,30,0.03,0,6.18,-521.8766667,0,2573.528571,2051.651905
9,Organic,China,456.05,5486.55,5487.55,5487.53,4758.34,2847.61,24202.42,24067.58,-134.84,0,0,0,0,27.73,0.03,0,6.08,-494.4133333,0,2531.885714,2037.472381
10,Organic,China,453.84,5456.35,5457.23,5457.21,4732.72,2835.05,24067.58,23938.56,-129.02,0,0,0,0,25.96,0.03,0,5.99,-473.0733333,0,2494.407143,2021.33381
11,Organic,China,451.83,5427.23,5428.02,5428.01,4707.99,2822.79,23938.56,23814.05,-124.51,0,0,0,0,24.52,0.03,0,5.91,-456.5366667,0,2461.092857,2004.55619
12,Organic,China,450.03,5398.92,5399.64,5399.63,4683.96,2810.79,23814.05,23692.94,-121.11,0,0,0,0,23.36,0.03,0,5.87,-444.07,0,2444.435714,2000.365714
13,Organic,China,448.33,5371.3,5371.97,5371.96,4660.52,2799.03,23692.95,23574.78,-118.16,0,0,0,0,22.39,0.03,0,5.82,-433.2533333,0,2423.614286,1990.360952
14,Organic,China,447.08,5344.27,5344.9,5344.88,4637.58,2787.45,23574.78,23459.07,-115.71,0,0,0,0,21.62,0.03,0,5.77,-424.27,0,2402.792857,1978.522857
15,Organic,China,446.02,5317.74,5318.33,5318.32,4615.06,2776.06,23459.07,23345.52,-113.55,0,0,0,0,20.96,0.03,0,5.72,-416.35,0,2381.971429,1965.621429
16,Organic,China,445.06,5291.64,5292.21,5292.19,4592.92,2764.83,23345.52,23233.79,-111.73,0,0,0,0,20.44,0.03,0,5.69,-409.6766667,0,2369.478571,1959.801905
17,Organic,China,449.6,5266.33,5267.23,5266.78,4571.82,2753.63,23233.79,23125.79,-108,0,0,0,0,19.92,0.03,0,4.01,-396,0,1669.878571,1273.878571
