Practice,Country,Year ,GrainC1    ,LeafC1     ,StemC1     ,RootC1     ,GrainC2    ,LeafC2     ,StemC2     ,RootC2     ,GrainC3    ,LeafC3     ,StemC3     ,RootC3     ,SOC 0-10cm ,SOC 10-20cm,SOC 20-30cm,SOC 30-40cm,SOC 40-50cm,IniSOC     ,End_SOC    ,dSOC       ,ShootLitterC_input,RootLitterC_input,ManureC_input,RootExudation_DOC,Soil-CO2   ,Leach_C    ,Runoff_C   ,CH4        ,IniSON     ,IniSIN     ,EndSON     ,EndSIN     ,dSN        ,Atmo_N_input,Fertilizer_N_input,Manure_N_input,Litter_N_input,N_fixation ,Crop_N_uptake,Leach_NO3  ,Runoff_SON ,Leach_DON  ,N2O_flux   ,NO_flux    ,N2_flux    ,NH3_flux   
org_cli,India,1,608.04,1106.86,1106.86,1135.19,0,0,0,0,0,0,0,0,118051.7,118104.62,118037.08,83925.5,41318.98,481866.53,479437.88,-2428.66,0,1135.19,0,185.34,3750.62,0.53,0,-1.89,47752.97,2.83,47488.41,156.98,-110.41,7.81,0,0,14.92,0,121.53,0.07,0,0,4.68,0.08,2.25,4.55
org_cli,India,2,1448.02,1114.22,1114.22,1142.74,0,0,0,0,0,0,0,0,117242.88,117276.67,117204.8,83389.51,41123.38,479437.91,476237.25,-3200.66,0,1142.74,0,186.57,4530.29,0.57,0,-2.21,47488.41,156.98,47235.01,206.6,-203.79,7.81,0,0,15.01,0,206.44,0.98,0,0,10.13,0.19,2.2,6.68
org_cli,India,3,1457.53,1121.54,1121.54,1150.24,0,0,0,0,0,0,0,0,116510.35,116539.49,116471.32,82905.6,40938.3,476237.25,473365.06,-2872.19,0,1150.24,0,187.8,4212.04,0.56,0,-2.21,47235.01,206.6,46987.4,247.99,-206.22,7.81,0,0,15.1,0,207.68,1.29,0,0,10.98,0.22,2.27,6.69
org_cli,India,4,1466.97,1094.83,1094.83,1122.84,0,0,0,0,0,0,0,0,115827.92,115854.4,115789.39,82454.57,40763.66,473365.09,470689.94,-2675.16,0,1122.84,0,183.94,3984.45,0.55,0,-2.22,46987.4,247.99,46747.12,281.7,-206.58,7.81,0,0,14.73,0,206.96,1.54,0,0,11.53,0.25,2.23,6.61
org_cli,India,5,1476.35,1101.83,1101.83,1130.02,0,0,0,0,0,0,0,0,115192.13,115217.4,115155.02,82033.33,40597.74,470689.97,468195.63,-2494.34,0,1130.02,0,185.11,3810.4,0.54,0,-2.23,46747.12,281.7,46514.67,306.22,-207.93,7.81,0,0,14.82,0,208.16,1.69,0,0,11.75,0.26,2.22,6.48
org_cli,India,6,1454.4,1108.79,1108.79,1137.16,0,0,0,0,0,0,0,0,114593.06,114617.92,114557.76,81635.16,40438.47,468195.63,465842.38,-2353.25,0,1137.16,0,186.28,3678.2,0.53,0,-2.24,46514.67,306.22,46290.32,324.8,-205.76,7.81,0,0,14.9,0,206.28,1.72,0,0,11.71,0.26,2.2,6.33
org_cli,India,7,1463.47,1115.71,1115.71,1144.26,0,0,0,0,0,0,0,0,114024.05,114049.02,113990.8,81255.81,40285.02,465842.44,463604.69,-2237.75,0,1144.26,0,187.44,3571.89,0.52,0,-2.24,46290.32,324.8,46073.78,335,-206.34,7.81,0,0,14.99,0,207.45,1.67,0,0,11.42,0.25,2.16,6.18
org_cli,India,8,1472.49,1122.58,1122.58,1151.31,0,0,0,0,0,0,0,0,113480.81,113506.04,113449.55,80891.89,40136.09,463604.72,461464.38,-2140.34,0,1151.31,0,188.6,3483.04,0.52,0,-2.25,46073.78,335,45864.55,337.69,-206.55,7.81,0,0,15.07,0,208.61,1.53,0,0,10.95,0.22,2.12,6
org_cli,India,9,1449.23,1129.41,1129.41,1158.31,0,0,0,0,0,0,0,0,112959.22,112984.84,112929.91,80541.4,39990.99,461464.41,459406.38,-2058.03,0,1158.31,0,189.75,3407.43,0.51,0,-2.25,45864.55,337.69,45661.96,337.04,-203.24,7.81,0,0,15.15,0,206.6,1.3,0,0,10.23,0.19,2.06,5.82
org_cli,India,10,1457.95,1136.2,1136.2,1165.28,0,0,0,0,0,0,0,0,112456.89,112483.04,112429.44,80202.81,39849.2,459406.34,457421.38,-1984.97,0,1165.28,0,190.89,3340.91,0.51,0,-2.26,45661.96,337.04,45465.48,330.56,-202.96,7.81,0,0,15.24,0,207.73,1.05,0,0,9.47,0.16,2,5.61
org_cli,India,11,1466.61,1106.51,1106.51,1134.83,0,0,0,0,0,0,0,0,111962.88,111989.06,111936.89,79869.95,39710.04,457421.34,455468.81,-1952.53,0,1134.83,0,186.53,3274.11,0.51,0,-2.27,45465.48,330.56,45274.22,320.91,-200.91,7.81,0,0,14.83,0,206.78,0.77,0,0,8.52,0.13,1.98,5.4
org_cli,India,12,1475.22,1113.01,1113.01,1141.49,0,0,0,0,0,0,0,0,111488.44,111514.94,111463.93,79548.58,39573.89,455468.88,453589.78,-1879.09,0,1141.49,0,187.62,3209.28,0.51,0,-2.27,45274.22,320.91,45088.14,306.63,-200.36,7.81,0,0,14.91,0,207.88,0.53,0,0,7.5,0.11,1.94,5.12
