Year ,GrainC1,LeafC1,StemC1,RootC1,GrainC2,LeafC2,StemC2,RootC2,GrainC3,LeafC3,StemC3,RootC3,SOC 0-10cm,SOC 10-20cm,SOC 20-30cm,SOC 30-40cm,SOC 40-50cm,SOC 0-10cm,SOC 10-20cm,SOC 20-30cm,SOC 30-40cm,SOC 40-50cm,IniSOC     ,End_SOC    ,dSOC       ,GWP,C_GWP,CH4_GWP,N2O_GWP,ShootLitterC_input,RootLitterC_input,ManureC_input,RootExudation_DOC,Soil-CO2,Leach_C    ,Runoff_C   ,CH4,IniSON     ,IniSIN     ,EndSON     ,EndSIN     ,dSN        ,Atmo_N_input,Fertilizer_N_input,Manure_N_input,Litter_N_input,N_fixation ,Crop_N_uptake,Leach_NO3,Runoff_SON ,Leach_DON  ,N2O_flux,NO_flux    ,N2_flux,NH3_flux,exchengeable-NH4,PET        ,Transpiration,Evaporation,WaterLeach ,Runoff     ,Irrigation ,Precipitation,DeepWater  ,MeanT      ,WindSpeed  ,ColdStress ,WaterStress,N_Stress   ,Cut_CropC  ,yr_end_grain,yr_end_leaf,yr_end_stem,yr_end_root,yr_end_stub
1,0,794.06,794.06,377.18,0,111.03,111.03,3108.97,0,533.45,533.45,426.76,0.0137,0.0076,0.0022,0.0006,0.0002,15761.35,8693.97,2525.51,745.31,278.96,27021.44,28005.1,983.66,-3587.77936,-3600.272842,0,12.49348178,456.27,388.15,468.45,480.86,810,0.03,0,0,2677.82,1.21,2695.66,3.98,20.61,0,0,22.62,18.36,59.3,64.67,0.02,0,0,0.03,0.01,0.06,7.5,2.3,1288.75,256.86,315.95,0,0,0,539.8,0.08,14.35,2,1.01,0.11,0.64,0,106.47,341.68,341.68,3602.29,1092.42
2,0,671.08,83.89,2348.79,0,115.71,810,648,0,357.52,234.94,255.37,0.0142,0.0075,0.0022,0.0006,0.0002,16290.92,8640.6,2512.33,740.93,280.89,28005.1,28465.66,460.56,-1581.573418,-1685.685766,0,104.1123482,836.96,41.63,936.89,1276.02,2630.82,0.1,0,0,2695.66,3.98,2742.22,5.06,47.64,0,0,69.86,19.07,57.26,69.5,0.18,0,0,0.25,0.02,0.36,23.12,2.55,1288.83,144.07,267.28,0,0,0,539.8,0.08,14.35,2,1,0.13,0.6,0,249.57,1192.99,723.03,6678.51,758.22
3,0,688.6,86.08,2410.1,0,124.77,873.42,698.73,0,397.08,260.94,283.63,0.0147,0.0075,0.0022,0.0006,0.0002,16851.13,8589.85,2501.19,739.07,282.41,28465.66,28963.65,497.99,-1664.431736,-1822.682505,0,158.2507693,902.99,69.16,936.89,2075.09,3486,0.12,0,0,2742.22,5.06,2789.89,6.02,48.63,0,0,74.51,27.05,58.96,73.76,0.25,0,0,0.38,0.02,0.52,26.33,2.6,1288.45,151.83,277.55,0,0,0,539.8,0.08,14.35,2,1,0.14,0.6,0,387.58,2196.78,1121.44,9738.23,526.26
4,0,687.71,85.96,2407,0,122.23,855.62,684.49,0,436.5,286.85,311.79,0.0151,0.0074,0.0022,0.0006,0.0002,17358.79,8543.81,2490.21,737.28,283.34,28963.65,29413.42,449.77,-1412.981858,-1646.193518,0,233.21166,925.17,86.58,936.89,2857.93,4356.68,0.13,0,0,2789.89,6.02,2835.67,6.84,46.6,0,0,75.12,31.72,58.75,75.27,0.29,0,0,0.56,0.03,0.78,28.09,2.63,1288.08,151.06,278.89,0,0,0,539.8,0.08,14.35,2,1,0.13,0.6,0,523.18,3223.72,1503.74,12703.58,365.26
5,0,698.83,87.35,2445.91,0,119.16,834.15,667.32,0,477.76,313.96,341.26,0.0155,0.0074,0.0022,0.0006,0.0002,17817.89,8501.68,2479.55,735.52,283.96,29413.43,29818.6,405.17,-1174.781465,-1482.954016,0,308.1725507,908.19,95.61,936.89,3626.73,5162.09,0.14,0,0,2835.67,6.84,2878.09,7.6,43.19,0,0,75.17,33.68,59.48,77.38,0.33,0,0,0.74,0.03,1.03,29.65,2.66,1287.71,149.91,280.62,0,0,0,539.8,0.08,14.35,2,1,0.13,0.6,0,653.64,4292.99,1901.56,15663.9,253.52
6,0,706.64,88.33,2473.23,0,113.44,794.07,635.25,0,518.76,340.9,370.55,0.0158,0.0074,0.0021,0.0006,0.0002,18225.01,8462.42,2469.25,734,284.4,29818.59,30175.09,356.5,-921.6845526,-1304.817994,0,383.1334414,872.56,99.24,936.89,4396.34,5948.39,0.15,0,0,2878.09,7.6,2916.57,8.31,39.18,0,0,75.03,34.05,59.83,78.92,0.36,0,0,0.92,0.03,1.28,30.93,2.67,1287.34,147.29,282.19,0,0,0,539.8,0.08,14.35,2,1,0.14,0.6,0,783.48,5404.27,2314.76,18627.38,175.96
7,0,705.23,88.15,2468.32,0,110.74,775.17,620.14,0,515.02,338.44,367.87,0.0162,0.0073,0.0021,0.0006,0.0002,18601.45,8425.72,2459.94,732.57,284.93,30175.09,30504.6,329.51,-747.9381428,-1206.032475,0,458.0943322,844.05,99.68,936.89,5171.64,6722.63,0.15,0,0,2916.57,8.31,2951.51,9.03,35.67,0,0,74.72,33.95,59.59,78.21,0.39,0,0,1.1,0.04,1.53,31.99,2.68,1286.96,151.85,277.11,0,0,0,539.8,0.08,14.35,2,1,0.13,0.6,0,909.36,6535.98,2746.85,21596.22,122.13
8,0,708.49,88.56,2479.71,0,110,770.02,616.02,0,515.38,338.68,368.13,0.0165,0.0073,0.0021,0.0006,0.0002,18956.9,8390.97,2451.79,730.92,285.49,30504.6,30816.06,311.46,-602.7483402,-1139.968057,0,537.2197168,832.15,99.23,936.89,5956.06,7512.73,0.15,0,0,2951.51,9.03,2983.66,9.78,32.89,0,0,74.35,34.01,59.79,78.25,0.42,0,0,1.29,0.04,1.79,32.83,2.68,1286.58,155.47,273.26,0,0,0,539.8,0.08,14.35,2,1,0.13,0.6,0,1028.75,7691.4,3196.43,24598.55,84.76
9,0,710.35,88.79,2486.24,0,107.54,752.76,602.21,0,516.91,339.68,369.22,0.0168,0.0073,0.0021,0.0006,0.0002,19282.14,8357.79,2444.24,729.32,286.09,30816.06,31099.58,283.52,-417.569201,-1037.705463,-0.373333333,620.5095953,818.22,98.42,936.89,6750.78,8320.64,0.16,0,-0.01,2983.66,9.78,3013.17,10.41,30.15,0,0,74.01,33.83,59.81,78,0.45,0,0,1.49,0.04,2.07,33.46,2.68,1286.2,159.15,270.35,0,0,0,539.8,0.08,14.35,2,1,0.13,0.6,0,1147.52,8869.42,3655.52,27622.63,58.83
10,0,713.13,89.14,2495.95,0,107.95,755.63,604.51,0,513.92,337.72,367.08,0.017,0.0072,0.0021,0.0006,0.0002,19593.8,8325.9,2437.43,727.78,286.7,31099.58,31371.61,272.03,-300.9273421,-995.6511612,-0.746666667,695.4704858,814.72,97.49,936.89,7555.16,9132.14,0.16,0,-0.02,3013.17,10.41,3040.57,11.02,28,0,0,73.66,33.83,60.02,78.04,0.47,0,0,1.67,0.05,2.32,34.01,2.68,1285.81,162.35,267.36,0,0,0,539.8,0.08,14.35,2,1,0.13,0.6,0,1263.11,10064.99,4130.32,30681.06,40.83
