Year,SOC_10cm,SOC_20cm,SOC_30cm,SOC_40cm,SOC_50cm,EndSOC
1,43814.89,43947.15,43948.95,31210.15,15313.3,178234.44
2,43566.9,43710.16,43712.43,31038.29,15226.5,177254.28
3,43324.71,43471.98,43474.74,30868.83,15144.56,176284.83
4,43088.23,43236.79,43239.88,30703.2,15066.58,175334.69
5,42857.77,43006.39,43009.67,30541.83,14991.65,174407.31
6,42622.05,42767.92,42771.29,30377.9,14919.26,173458.41
7,42395.51,42539.51,42542.92,30220.23,14848.87,172547.03
8,42175.37,42317.65,42321.09,30067.09,14780.19,171661.39
9,41961.59,42102.64,42106.07,29918.06,14713.08,170801.44
10,41753.11,41892.99,41896.37,29772.53,14647.11,169962.13
11,41549.44,41688.18,41691.48,29630.12,14582.22,169141.44
12,41349.36,41486.93,41490.18,29490.08,14518.4,168334.94
13,41153.5,41290.19,41293.35,29352.77,14455.49,167545.3
14,40961.34,41097.14,41100.2,29217.84,14393.32,166769.84
15,40772.7,40907.57,40910.54,29085.08,14331.94,166007.83
16,40575.94,40707.73,40710.55,28947.64,14271.33,165213.19
17,40860.02,40483.19,40396.38,28765.31,14211.37,164716.27
18,40027.41,39985.5,39982.19,28530.66,13212.14,161737.89
