Multi-year report for site MP

Year ,GrainC1    ,LeafC1     ,StemC1     ,RootC1     ,GrainC2    ,LeafC2     ,StemC2     ,RootC2     ,GrainC3    ,LeafC3     ,StemC3     ,RootC3     ,SOC 0-10cm ,SOC 10-20cm,SOC 20-30cm,SOC 30-40cm,SOC 40-50cm,SOC 0-10cm ,SOC 10-20cm,SOC 20-30cm,SOC 30-40cm,SOC 40-50cm,IniSOC     ,End_SOC    ,dSOC       ,ShootLitterC_input,RootLitterC_input,ManureC_input,RootExudation_DOC,Soil-CO2   ,Leach_C    ,Runoff_C   ,CH4        ,IniSON     ,IniSIN     ,EndSON     ,EndSIN     ,dSN        ,Atmo_N_input,Fertilizer_N_input,Manure_N_input,Litter_N_input,N_fixation ,Crop_N_uptake,Leach_NO3  ,Runoff_SON ,Leach_DON  ,N2O_flux   ,NO_flux    ,N2_flux    ,NH3_flux   ,exchengeable-NH4,PET        ,Transpiration,Evaporation,WaterLeach ,Runoff     ,Irrigation ,Precipitation,DeepWater  ,MeanT      ,WindSpeed  ,ColdStress ,WaterStress,N_Stress   ,Cut_CropC  ,yr_end_grain,yr_end_leaf,yr_end_stem,yr_end_root,yr_end_stub
     ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/kg     ,kgC/kg     ,kgC/kg     ,kgC/kg     ,kgC/kg     ,,kgC/ha     kgC/ha     ,kgC/ha     ,kgC/ha     ,kgC/ha     ,kgC/ha     ,kgC/ha     ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgN/ha     ,kgN/ha     ,kgN/ha     ,kgN/ha     ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha     ,mm         ,mm         ,mm         ,mm         ,mm         ,mm         ,mm         ,mm         ,degree     ,m/s        ,           ,           ,           ,kgC/ha/y   ,kgC/ha     ,kgC/ha     

    1,     929.14,    1113.45,    1113.45,    1141.94,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,         0.0824,         0.0827,         0.0827,         0.0587,         0.0192,   43814.89,   43947.15,   43948.95,   31210.15,   15313.30,  179048.27,  178234.44,        -813.83,           0.00,        1141.94,           0.00,         147.16,        2104.42,           0.43,           0.00,          -1.91,       17743.68,           1.05,       17637.85,         133.19,          26.31,         284.46,           0.00,           0.00,          15.01,           0.00,         154.56,          16.10,           0.00,           0.00,          38.38,           0.03,           2.00,          62.09,           6.96,         659.84,         297.87,         499.52,       25436.61,           0.00,         900.00,       34736.94,          91.51,          25.19,       2.00,       1.00,       0.40,       0.40,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00
    2,    1439.80,    1119.44,    1119.44,    1148.08,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,         0.0819,         0.0822,         0.0822,         0.0584,         0.0191,   43566.90,   43710.16,   43712.43,   31038.29,   15226.50,  178234.42,  177254.28,        -980.14,           0.00,        1148.08,           0.00,         147.95,        2278.10,           0.44,           0.00,          -2.24,       17637.85,         133.19,       17537.80,         170.96,         -62.28,         284.46,           0.00,           0.00,          15.09,           0.00,         206.01,          24.09,           0.00,           0.00,          48.80,           0.06,           1.95,          80.94,           6.96,         659.83,         395.28,         501.83,       25345.94,           0.00,         900.00,       34736.94,          91.51,          25.19,       2.00,       1.00,       0.36,       0.53,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00
    3,    1447.46,    1125.39,    1125.39,    1154.19,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,         0.0815,         0.0818,         0.0818,         0.0581,         0.0190,   43324.71,   43471.98,   43474.74,   30868.83,   15144.56,  177254.25,  176284.83,        -969.42,           0.00,        1154.19,           0.00,         148.74,        2274.01,           0.42,           0.00,          -2.25,       17537.80,         170.96,       17440.84,         200.16,         -67.76,         284.46,           0.00,           0.00,          15.16,           0.00,         207.00,          24.82,           0.00,           0.00,          51.02,           0.06,           1.96,          82.53,           6.96,         659.83,         395.47,         502.84,       25344.72,           0.00,         900.00,       34736.94,          91.51,          25.19,       2.00,       1.00,       0.36,       0.53,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00
    4,    1455.09,    1131.32,    1131.32,    1160.27,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,         0.0810,         0.0813,         0.0813,         0.0577,         0.0189,   43088.23,   43236.79,   43239.88,   30703.20,   15066.58,  176284.86,  175334.69,        -950.17,           0.00,        1160.27,           0.00,         149.52,        2261.77,           0.40,           0.00,          -2.25,       17440.84,         200.16,       17346.50,         222.64,         -71.86,         284.46,           0.00,           0.00,          15.23,           0.00,         207.99,          25.40,           0.00,           0.00,          52.59,           0.06,           1.98,          83.52,           6.96,         659.83,         395.66,         502.13,       25345.25,           0.00,         900.00,       34736.94,          91.51,          25.19,       2.00,       1.00,       0.36,       0.53,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00
    5,    1462.67,    1137.22,    1137.22,    1166.32,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,         0.0806,         0.0809,         0.0809,         0.0574,         0.0188,   42857.77,   43006.39,   43009.67,   30541.83,   14991.65,  175334.66,  174407.31,        -927.34,           0.00,        1166.32,           0.00,         150.30,        2246.43,           0.39,           0.00,          -2.26,       17346.50,         222.64,       17254.55,         239.89,         -74.70,         284.46,           0.00,           0.00,          15.30,           0.00,         208.98,          25.83,           0.00,           0.00,          53.51,           0.07,           1.97,          84.12,           6.96,         659.83,         395.85,         501.73,       25345.46,           0.00,         900.00,       34736.94,          91.51,          25.19,       2.00,       1.00,       0.36,       0.53,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00
    6,    1470.22,    1097.94,    1097.94,    1126.04,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,         0.0802,         0.0804,         0.0804,         0.0571,         0.0187,   42622.05,   42767.92,   42771.29,   30377.90,   14919.26,  174407.30,  173458.41,        -948.89,           0.00,        1126.04,           0.00,         145.69,        2222.29,           0.37,           0.00,          -2.27,       17254.55,         239.89,       17163.91,         254.87,         -75.66,         284.46,           0.00,           0.00,          14.77,           0.00,         207.38,          26.30,           0.00,           0.00,          54.41,           0.07,           1.95,          84.79,           6.96,         659.83,         391.16,         501.96,       25349.90,           0.00,         900.00,       34736.94,          91.51,          25.19,       2.00,       1.00,       0.36,       0.53,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00
    7,    1477.73,    1103.55,    1103.55,    1131.79,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,         0.0797,         0.0800,         0.0800,         0.0568,         0.0186,   42395.51,   42539.51,   42542.92,   30220.23,   14848.87,  173458.41,  172547.03,        -911.38,           0.00,        1131.79,           0.00,         146.44,        2191.39,           0.36,           0.00,          -2.27,       17163.91,         254.87,       17074.97,         266.69,         -77.12,         284.46,           0.00,           0.00,          14.84,           0.00,         208.34,          26.54,           0.00,           0.00,          54.57,           0.07,           1.93,          84.98,           6.96,         659.83,         391.34,         501.76,       25349.92,           0.00,         900.00,       34736.94,          91.51,          25.19,       2.00,       1.00,       0.36,       0.53,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00
    8,    1450.18,    1109.13,    1109.13,    1137.51,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,         0.0793,         0.0796,         0.0796,         0.0565,         0.0185,   42175.37,   42317.65,   42321.09,   30067.09,   14780.19,  172547.03,  171661.39,        -885.64,           0.00,        1137.51,           0.00,         147.18,        2171.95,           0.36,           0.00,          -2.28,       17074.97,         266.69,       16987.75,         278.40,         -75.51,         284.46,           0.00,           0.00,          14.90,           0.00,         205.86,          27.04,           0.00,           0.00,          54.64,           0.07,           1.91,          85.36,           6.96,         659.83,         385.09,         502.98,       25354.93,           0.00,         900.00,       34736.94,          91.51,          25.19,       2.00,       1.00,       0.35,       0.53,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00
