Multi-year report for site MP

Year ,GrainC1    ,LeafC1     ,StemC1     ,RootC1     ,GrainC2    ,LeafC2     ,StemC2     ,RootC2     ,GrainC3    ,LeafC3     ,StemC3     ,RootC3     ,SOC 0-10cm ,SOC 10-20cm,SOC 20-30cm,SOC 30-40cm,SOC 40-50cm,SOC 0-10cm ,SOC 10-20cm,SOC 20-30cm,SOC 30-40cm,SOC 40-50cm,IniSOC     ,End_SOC    ,dSOC       ,ShootLitterC_input,RootLitterC_input,ManureC_input,RootExudation_DOC,Soil-CO2   ,Leach_C    ,Runoff_C   ,CH4        ,IniSON     ,IniSIN     ,EndSON     ,EndSIN     ,dSN        ,Atmo_N_input,Fertilizer_N_input,Manure_N_input,Litter_N_input,N_fixation ,Crop_N_uptake,Leach_NO3  ,Runoff_SON ,Leach_DON  ,N2O_flux   ,NO_flux    ,N2_flux    ,NH3_flux   ,exchengeable-NH4,PET        ,Transpiration,Evaporation,WaterLeach ,Runoff     ,Irrigation ,Precipitation,DeepWater  ,MeanT      ,WindSpeed  ,ColdStress ,WaterStress,N_Stress   ,Cut_CropC  ,yr_end_grain,yr_end_leaf,yr_end_stem,yr_end_root,yr_end_stub
     ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/kg     ,kgC/kg     ,kgC/kg     ,kgC/kg     ,kgC/kg     ,,kgC/ha     kgC/ha     ,kgC/ha     ,kgC/ha     ,kgC/ha     ,kgC/ha     ,kgC/ha     ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgN/ha     ,kgN/ha     ,kgN/ha     ,kgN/ha     ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha     ,mm         ,mm         ,mm         ,mm         ,mm         ,mm         ,mm         ,mm         ,degree     ,m/s        ,           ,           ,           ,kgC/ha/y   ,kgC/ha     ,kgC/ha     

    1,     714.08,    1110.56,    1110.56,    1138.98,     277.63,     875.25,     875.25,     636.51,    5365.33,    2357.42,    2357.42,    1119.77,         0.0992,         0.0951,         0.0760,         0.0410,         0.0192,   52756.13,   50570.15,   40416.86,   21822.61,   15315.92,  179048.27,  180881.67,        1833.41,           0.00,        4013.58,           0.00,         480.46,        2661.70,           0.81,           0.00,          -1.87,       17743.68,           1.05,       17710.85,          94.24,          60.35,         284.46,           0.00,           0.00,          47.45,         133.12,         232.31,          17.90,           0.00,           0.00,          23.20,           0.03,           1.65,          60.70,           6.96,         659.84,        1630.78,         475.59,       24126.82,           0.00,         900.00,       34736.94,          91.51,          25.19,       2.00,       1.00,       0.49,       0.27,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00
    2,       0.00,       0.00,       0.00,       0.00,    4187.79,    2281.94,    2281.94,    1659.51,    4815.48,    2572.83,    2572.83,    1222.09,         0.0993,         0.0949,         0.0755,         0.0408,         0.0191,   52782.49,   50453.51,   40169.65,   21693.71,   15228.52,  180881.66,  180327.89,        -553.77,         875.95,        2880.39,           0.00,         347.01,        4658.44,           0.64,           0.00,          -1.78,       17710.85,          94.24,       17695.56,         106.32,          -3.21,         284.46,           0.00,           0.00,          34.11,          60.54,         242.27,          27.59,           0.00,           0.00,          43.27,           0.05,           1.90,          84.49,           6.96,         659.90,         869.05,         370.36,       25002.89,           0.00,         900.00,       34736.94,          91.51,          25.19,       2.00,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,    9085.19
    3,     744.49,    1125.39,    1125.39,    1154.19,     415.80,    2292.98,    2292.98,    1667.54,    4848.76,    2586.52,    2586.52,    1228.60,         0.1040,         0.0949,         0.0751,         0.0406,         0.0190,   55272.84,   50462.57,   39941.58,   21575.40,   15147.90,  180327.91,  182400.30,        2072.39,        3660.72,        4049.29,           0.00,         497.50,        6135.64,           0.95,           0.00,          -1.35,       17695.56,         106.32,       17752.82,          79.59,          30.53,         284.46,           0.00,           0.00,          49.44,          63.57,         296.21,          14.10,           0.00,           0.00,          42.75,           0.04,           1.63,          84.36,           6.96,         659.84,        1200.53,          51.73,       24989.32,           0.00,         900.00,       34736.94,          91.51,          25.19,       2.00,       1.00,       0.40,       0.37,       0.00,       0.00,       0.00,       0.00,       0.00,   15446.27
    4,     690.94,    1103.31,    1103.31,    1131.54,     269.70,    1999.46,    1999.46,    1454.08,    5146.61,    2460.50,    2460.50,    1168.74,         0.1077,         0.0948,         0.0747,         0.0404,         0.0189,   57248.95,   50420.62,   39723.34,   21462.05,   15071.19,  182400.30,  183926.16,        1525.86,        5610.79,        3753.49,           0.00,         460.20,        8298.79,           0.87,           0.00,          -0.77,       17752.82,          79.59,       17852.08,          78.63,          98.30,         284.46,           0.00,           0.00,          45.81,          65.70,         271.17,           6.43,           0.00,           0.00,          36.89,           0.04,           1.61,          92.06,           6.96,         659.84,        1159.78,           1.25,       25030.90,           0.00,         900.00,       34736.94,          91.51,          25.19,       2.00,       1.00,       0.42,       0.30,       0.00,       0.00,       0.00,       0.00,       0.00,   19903.08
    5,     694.72,    1116.10,    1116.10,    1144.66,     270.26,    1959.19,    1959.19,    1424.79,    5173.41,    2466.75,    2466.75,    1171.71,         0.1117,         0.0947,         0.0743,         0.0402,         0.0188,   59382.34,   50359.07,   39511.94,   21352.53,   14996.86,  183926.17,  185602.73,        1676.56,        6977.72,        3740.28,           0.00,         458.54,        9499.51,           0.85,           0.00,          -0.50,       17852.08,          78.63,       17978.99,          75.42,         123.70,         284.46,           0.00,           0.00,          45.63,          66.01,         270.81,           4.92,           0.00,           0.00,          37.61,           0.05,           2.11,          94.33,           6.96,         659.84,        1159.38,           0.97,       25082.25,           0.00,         900.00,       34736.94,          91.51,          25.19,       2.00,       1.00,       0.42,       0.30,       0.00,       0.00,       0.00,       0.00,       0.00,   23032.28
    6,     694.93,    1114.34,    1114.34,    1142.86,     271.14,    1859.48,    1859.48,    1352.28,    5200.07,    2472.87,    2472.87,    1174.62,         0.1144,         0.0946,         0.0739,         0.0400,         0.0187,   60845.18,   50281.70,   39306.87,   21246.03,   14924.55,  185602.73,  186604.33,        1001.59,        7046.27,        3668.87,           0.00,         449.74,       10162.95,           0.82,           0.00,          -0.50,       17978.99,          75.42,       18103.89,          76.18,         125.67,         284.46,           0.00,           0.00,          44.72,          66.32,         267.17,           4.74,           0.00,           0.00,          36.87,           0.06,           2.30,          97.44,           6.96,         659.84,        1157.23,           0.97,       25084.42,           0.00,         900.00,       34736.94,          91.51,          25.19,       2.00,       1.00,       0.43,       0.29,       0.00,       0.00,       0.00,       0.00,       0.00,   15986.01
    7,     709.84,    1104.40,    1104.40,    1132.66,     274.09,    2038.52,    2038.52,    1482.49,    3506.32,    2649.06,    2649.06,    1258.30,         0.1170,         0.0944,         0.0735,         0.0398,         0.0186,   62209.06,   50212.14,   39107.09,   21142.20,   14854.04,  186604.30,  187524.53,         920.23,        5776.07,        3801.10,           0.00,         614.70,        9271.20,           1.19,           0.00,          -0.50,       18103.89,          76.18,       18191.71,          77.61,          89.25,         284.46,           0.00,           0.00,          46.33,         120.05,         275.81,           4.02,           0.00,           0.00,          30.02,           0.05,           2.44,          91.91,           6.96,         659.84,        1622.48,           1.20,       24618.53,           0.00,         900.00,       34736.94,          91.51,          25.19,       2.00,       1.00,       0.42,       0.30,       0.00,    3506.32,    2649.06,    2649.06,    1258.24,   20279.31
    8,    4160.20,    2379.49,    3660.75,    1738.86,     709.11,    1122.28,    1122.28,    1151.00,     275.07,    2043.37,    2043.37,    1486.01,         0.1207,         0.0943,         0.0732,         0.0396,         0.0185,   64163.59,   50140.03,   38911.54,   21040.74,   14785.20,  187524.55,  189041.11,        1516.56,        7093.99,        3828.96,           0.00,         869.38,       10274.64,           1.74,           0.00,          -0.50,       18191.71,          77.61,       18304.40,          74.56,         109.65,         284.46,           0.00,           0.00,          46.67,         120.60,         277.21,           3.82,           0.00,           0.00,          27.82,           0.06,           2.58,          98.77,           6.96,         656.21,        1707.59,           0.83,       24484.09,           0.00,         850.00,       34736.94,          91.51,          25.19,       2.00,       1.01,       0.29,       0.30,       0.00,    7666.52,    5028.54,    6309.81,    2996.94,   23305.54
