Multi-year report for site MP

Year ,GrainC1    ,LeafC1     ,StemC1     ,RootC1     ,GrainC2    ,LeafC2     ,StemC2     ,RootC2     ,GrainC3    ,LeafC3     ,StemC3     ,RootC3     ,SOC 0-10cm ,SOC 10-20cm,SOC 20-30cm,SOC 30-40cm,SOC 40-50cm,SOC 0-10cm ,SOC 10-20cm,SOC 20-30cm,SOC 30-40cm,SOC 40-50cm,IniSOC     ,End_SOC    ,dSOC       ,ShootLitterC_input,RootLitterC_input,ManureC_input,RootExudation_DOC,Soil-CO2   ,Leach_C    ,Runoff_C   ,CH4        ,IniSON     ,IniSIN     ,EndSON     ,EndSIN     ,dSN        ,Atmo_N_input,Fertilizer_N_input,Manure_N_input,Litter_N_input,N_fixation ,Crop_N_uptake,Leach_NO3  ,Runoff_SON ,Leach_DON  ,N2O_flux   ,NO_flux    ,N2_flux    ,NH3_flux   ,exchengeable-NH4,PET        ,Transpiration,Evaporation,WaterLeach ,Runoff     ,Irrigation ,Precipitation,DeepWater  ,MeanT      ,WindSpeed  ,ColdStress ,WaterStress,N_Stress   ,Cut_CropC  ,yr_end_grain,yr_end_leaf,yr_end_stem,yr_end_root,yr_end_stub
     ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/kg     ,kgC/kg     ,kgC/kg     ,kgC/kg     ,kgC/kg     ,,kgC/ha     kgC/ha     ,kgC/ha     ,kgC/ha     ,kgC/ha     ,kgC/ha     ,kgC/ha     ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgC/ha/y   ,kgN/ha     ,kgN/ha     ,kgN/ha     ,kgN/ha     ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha/y   ,kgN/ha     ,mm         ,mm         ,mm         ,mm         ,mm         ,mm         ,mm         ,mm         ,degree     ,m/s        ,           ,           ,           ,kgC/ha/y   ,kgC/ha     ,kgC/ha     

    1,     713.98,    1112.90,    1112.90,    1141.37,     277.54,     307.62,     307.62,     223.71,    5515.30,    2325.30,    2325.30,    1104.52,         0.0987,         0.0951,         0.0760,         0.0411,         0.0192,   52458.81,   50553.88,   40436.08,   21832.58,   15322.68,  179048.27,  180604.03,        1555.77,           0.00,        3572.80,           0.00,         491.03,        2508.97,           0.79,           0.00,          -1.86,       17743.68,           1.05,       17700.86,          94.82,          50.94,         284.46,           0.00,           0.00,          41.99,         134.92,         211.75,          17.93,           0.00,           0.00,          21.28,           0.02,           1.24,          58.26,           6.96,         659.84,        1776.60,         380.62,       24076.09,           0.00,         900.00,       34736.94,          91.51,          25.19,       2.00,       1.00,       0.52,       0.26,       0.00,     367.34,     307.33,     307.33,     512.20,       0.00
    2,     755.09,    1142.96,     659.40,    1099.00,       0.00,       0.00,       0.00,       0.00,    3837.54,    2307.76,    2307.76,    1678.29,         0.0991,         0.0949,         0.0756,         0.0408,         0.0191,   52693.07,   50459.35,   40192.41,   21705.42,   15236.25,  180604.03,  180286.50,        -317.53,         876.55,        2891.53,           0.00,         583.47,        4669.85,           1.11,           0.00,          -1.79,       17700.86,          94.82,       17682.10,          86.50,         -27.08,         284.46,           0.00,           0.00,          34.26,          63.26,         236.58,          16.11,           0.00,           0.00,          25.34,           0.03,           1.39,          71.72,           6.96,         659.24,        1168.45,         343.63,       24730.02,           0.00,         900.00,       34736.94,          91.51,          25.19,       2.00,       1.00,       0.31,       0.34,       0.00,    1122.43,    1450.30,     966.74,    1611.12,    9091.37
    3,     759.11,    1149.05,     662.91,    1104.85,     695.16,    1114.57,    1114.57,    1143.10,     272.99,     668.21,     668.21,     485.95,         0.1022,         0.0947,         0.0752,         0.0406,         0.0190,   54340.50,   50357.33,   39962.36,   21586.18,   15155.49,  180286.48,  181401.86,        1115.38,        3674.96,        2753.92,           0.00,         760.07,        6073.50,           1.68,           0.00,          -1.35,       17682.10,          86.50,       17719.64,          81.27,          32.31,         284.46,           0.00,           0.00,          33.40,          67.21,         236.52,          10.25,           0.00,           0.00,          30.75,           0.03,           1.42,          77.25,           6.96,         658.68,        1517.58,          51.32,       24673.09,           0.00,         900.00,       34736.94,          91.51,          25.19,       2.00,       1.00,       0.31,       0.34,       0.00,    1881.54,    2599.35,    1629.65,    2715.84,   15578.63
    4,     763.11,    1155.10,     666.40,    1110.67,     688.74,    1105.36,    1105.36,    1133.64,     269.24,     480.70,     480.70,     349.58,         0.1056,         0.0945,         0.0747,         0.0404,         0.0189,   56138.30,   50236.64,   39742.47,   21471.45,   15077.86,  181401.86,  182666.72,        1264.86,        5649.76,        2610.86,           0.00,         935.25,        7930.03,           2.08,           0.00,          -0.79,       17719.64,          81.27,       17798.13,          79.80,          77.01,         284.46,           0.00,           0.00,          31.59,          66.61,         228.92,           4.91,           0.00,           0.00,          28.34,           0.03,           1.61,          85.06,           6.96,         658.11,        1509.99,           1.21,       24680.77,           0.00,         900.00,       34736.94,          91.51,          25.19,       2.00,       1.00,       0.31,       0.34,       0.00,    2644.65,    3754.45,    2296.05,    3826.32,   19979.13
    5,     767.08,    1161.12,     669.88,    1116.46,     692.22,    1101.20,    1101.20,    1129.38,     269.65,     474.46,     474.46,     345.05,         0.1093,         0.0942,         0.0743,         0.0402,         0.0188,   58091.84,   50109.05,   39529.88,   21360.71,   15002.70,  182666.75,  184094.19,        1427.44,        6999.45,        2604.83,           0.00,        1129.57,        9304.40,           2.43,           0.00,          -0.50,       17798.13,          79.80,       17903.36,          76.75,         102.18,         284.46,           0.00,           0.00,          31.49,          66.93,         229.14,           3.92,           0.00,           0.00,          28.70,           0.04,           2.07,          86.57,           6.96,         657.55,        1506.87,           0.97,       24734.87,           0.00,         900.00,       34736.94,          91.51,          25.19,       2.00,       1.00,       0.31,       0.34,       0.00,    3411.74,    4915.56,    2965.92,    4942.53,   23069.14
    6,     771.04,    1167.11,     673.33,    1122.22,     691.46,    1110.42,    1110.42,    1138.83,     270.37,     377.81,     377.81,     274.76,         0.1117,         0.0940,         0.0740,         0.0400,         0.0187,   59378.58,   49974.85,   39323.91,   21253.29,   14929.67,  184094.17,  184860.30,         766.13,        7057.54,        2549.81,           0.00,        1318.36,       10157.44,           2.73,           0.00,          -0.50,       17903.36,          76.75,       18006.10,          77.41,         103.40,         284.46,           0.00,           0.00,          30.79,          67.24,         226.50,           3.84,           0.00,           0.00,          28.51,           0.04,           2.24,          88.50,           6.96,         656.98,        1508.55,           0.97,       24733.21,           0.00,         900.00,       34736.94,          91.51,          25.19,       2.00,       1.00,       0.31,       0.34,       0.00,    4182.78,    6082.66,    3639.25,    6064.44,   16011.60
    7,     369.40,     819.61,     472.85,     788.09,     706.42,    1115.32,    1115.32,    1143.86,     273.17,     270.83,     270.83,     196.96,         0.1137,         0.0938,         0.0736,         0.0398,         0.0186,   60437.88,   49852.05,   39127.98,   21151.96,   14861.16,  184860.30,  185431.03,         570.73,        5792.46,        2476.54,           0.00,        1714.11,        9410.28,           2.81,           0.00,          -0.67,       18006.10,          77.41,       18071.56,          79.18,          67.24,         284.46,           0.00,           0.00,          29.86,          98.40,         193.02,           3.94,           0.00,           0.00,          30.05,           0.04,           2.23,          85.99,           6.96,         656.56,        1928.33,           1.20,       24196.88,           0.00,         900.00,       34736.94,          91.51,          25.19,       2.00,       1.00,       0.26,       0.27,       0.00,    5436.31,    9369.93,    6579.77,    8647.93,   20385.83
    8,     384.07,     829.82,     478.74,     797.91,     850.70,    1630.86,    2509.01,    1191.78,      76.59,     709.95,     484.06,     806.76,         0.1169,         0.0935,         0.0732,         0.0396,         0.0185,   62170.28,   49727.94,   38935.49,   21052.57,   14793.80,  185431.02,  186680.08,        1249.06,        7121.50,        2480.05,           0.00,        2174.72,       10524.67,           3.23,           0.00,          -0.67,       18071.56,          79.18,       18161.79,          76.34,          87.39,         284.46,           0.00,           0.00,          29.89,          95.60,         128.52,           3.74,           0.00,           0.00,          27.33,           0.05,           2.36,          92.52,           6.96,         656.20,        1925.18,           0.83,       24140.60,           0.00,         850.00,       34736.94,          91.51,          25.19,       2.00,       1.00,       0.26,       0.28,       0.00,    6747.67,   12540.56,   10051.58,   11443.71,   23326.83
