Year,SOC_10cm,SOC_20cm,SOC_30cm,SOC_40cm,SOC_50cm,EndSOC
1,52458.81,50553.88,40436.08,21832.58,15322.68,180604.03
2,52693.07,50459.35,40192.41,21705.42,15236.25,180286.5
3,54340.5,50357.33,39962.36,21586.18,15155.49,181401.86
4,56138.3,50236.64,39742.47,21471.45,15077.86,182666.72
5,58091.84,50109.05,39529.88,21360.71,15002.7,184094.19
6,59378.58,49974.85,39323.91,21253.29,14929.67,184860.3
7,60437.88,49852.05,39127.98,21151.96,14861.16,185431.03
8,62170.28,49727.94,38935.49,21052.57,14793.8,186680.08
9,63996.84,49597.19,38746.46,20954.8,14727.72,188023.03
10,65848.02,49466.86,38560.75,20858.61,14662.66,189396.91
11,67687.59,49336.66,38377.83,20764,14598.52,190764.59
12,68808.34,49205.76,38197.48,20670.78,14535.37,191417.72
13,69732.7,49085.7,38020.46,20578.8,14473.1,191890.77
14,69008.23,48765.09,37846.44,20488.54,14411.95,190520.25
15,70809.64,48662.72,37671.94,20397.85,14350.56,191892.72
16,72322.28,48549.93,37499.75,20308.55,14289.99,192970.5
17,73769.44,48440.8,37329.66,20220.27,14230.13,193990.3
18,75353.85,48318.53,37161.32,20133.03,14170.93,195137.67
