Year,SOC_10cm,SOC_20cm,SOC_30cm,SOC_40cm,SOC_50cm,EndSOC
1,52756.13,50570.15,40416.86,21822.61,15315.92,180881.67
2,52782.49,50453.51,40169.65,21693.71,15228.52,180327.89
3,55272.84,50462.57,39941.58,21575.4,15147.9,182400.3
4,57248.95,50420.62,39723.34,21462.05,15071.19,183926.16
5,59382.34,50359.07,39511.94,21352.53,14996.86,185602.73
6,60845.18,50281.7,39306.87,21246.03,14924.55,186604.33
7,62209.06,50212.14,39107.09,21142.2,14854.04,187524.53
8,64163.59,50140.03,38911.54,21040.74,14785.2,189041.11
9,66161.84,50050.69,38719.97,20941.15,14717.84,190591.48
10,68170.49,49958.7,38532.19,20843.38,14651.58,192156.34
11,70170.08,49865.57,38347.46,20747.36,14586.35,193716.81
12,71462.79,49771.43,38165.39,20652.81,14522.25,194574.67
13,72511.44,49705.18,37988.68,20561.08,14460.29,195226.67
14,74211.91,49634.64,37814.1,20470.66,14399.11,196530.42
15,75930.89,49559.59,37641.89,20381.29,14338.73,197852.39
16,77664.92,49484.05,37471.84,20293.11,14279.09,199193
17,79322.3,49412.84,37303.76,20205.9,14220.11,200464.91
18,81080.28,49326.05,37137.41,20119.7,14161.76,201825.2
