Year,Practice,kgSOC_10cm,kgSOC_20cm,kgSOC_30cm,kgSOC_40cm,kgSOC_50cm,Ini_SOC,End_SOC,dSOC       ,CH4,N20_flux,CO2e,CH4_CO2e,N2O_CO2e,GWP,Grain_Prod
1,No_Compost,36827.36,36979.59,31092.33,17224.88,12711.54,134993.11,134835.7,-157.41,-0.96,1.09,-577.17,-35.84,453.9071429,-159.1028571,4231.13
2,No_Compost,36724.88,36952.98,31078.3,17228.49,12732.36,134835.69,134717,-118.69,-0.85,0.1,-435.1966667,-31.73333333,41.64285714,-425.2871429,400.8
3,No_Compost,36637.13,36906.8,31042.86,17210.05,12719.82,134717.02,134516.67,-200.34,-0.92,0.1,-734.58,-34.34666667,41.64285714,-727.2838095,442.2
4,No_Compost,36568.96,36861.87,31008.14,17191.61,12706.55,134516.64,134337.13,-179.52,-0.92,0.1,-658.24,-34.34666667,41.64285714,-650.9438095,457.07
5,No_Compost,36511.88,36818.32,30974.54,17173.73,12693.63,134337.14,134172.11,-165.03,-0.92,0.1,-605.11,-34.34666667,41.64285714,-597.8138095,469.97
6,No_Compost,36461.18,36776.07,30941.98,17156.39,12681.1,134172.13,134016.72,-155.41,-0.92,0.11,-569.8366667,-34.34666667,45.80714286,-558.3761905,480.07
7,No_Compost,36414.28,36735.04,30910.47,17139.67,12669.02,134016.72,133868.48,-148.23,-0.92,0.11,-543.51,-34.34666667,45.80714286,-532.0495238,487.77
8,No_Compost,36369.57,36695.09,30879.83,17123.37,12657.22,133868.48,133725.08,-143.41,-0.92,0.11,-525.8366667,-34.34666667,45.80714286,-514.3761905,495.07
9,No_Compost,36326.24,36656.16,30850.03,17107.49,12645.72,133725.08,133585.64,-139.44,-0.92,0.11,-511.28,-34.34666667,45.80714286,-499.8195238,501.89
10,No_Compost,36283.76,36618.19,30821,17092.01,12634.52,133585.64,133449.48,-136.16,-0.92,0.11,-499.2533333,-34.34666667,45.80714286,-487.7928571,508.25
11,No_Compost,36241.85,36581.1,30792.69,17076.92,12623.58,133449.48,133316.13,-133.36,-0.92,0.1,-488.9866667,-34.34666667,41.64285714,-481.6904762,513.93
12,No_Compost,36200.4,36544.84,30765.05,17062.17,12612.9,133316.14,133185.36,-130.78,-0.92,0.1,-479.5266667,-34.34666667,41.64285714,-472.2304762,518.59
13,No_Compost,36159.57,36509.46,30738.16,17047.81,12602.49,133185.36,133057.48,-127.88,-0.92,0.1,-468.8933333,-34.34666667,41.64285714,-461.5971429,520.8
14,No_Compost,36119.02,36474.79,30711.83,17033.73,12592.27,133057.48,132931.64,-125.84,-0.92,0.1,-461.4133333,-34.34666667,41.64285714,-454.1171429,523.6
15,No_Compost,36078.76,36440.78,30686.04,17019.94,12582.27,132931.63,132807.8,-123.83,-0.92,0.1,-454.0433333,-34.34666667,41.64285714,-446.7471429,526.15
16,No_Compost,36038.73,36407.43,30660.76,17006.42,12572.46,132807.78,132685.8,-121.98,-0.92,0.1,-447.26,-34.34666667,41.64285714,-439.9638095,527.8
17,No_Compost,35998.95,36374.66,30635.96,16993.14,12562.84,132685.81,132565.55,-120.27,-0.92,0.1,-440.99,-34.34666667,41.64285714,-433.6938095,529
18,No_Compost,35959.39,36342.46,30611.61,16980.1,12553.38,132565.56,132446.94,-118.63,-0.92,0.1,-434.9766667,-34.34666667,41.64285714,-427.6804762,530.22
19,No_Compost,35920.1,36310.89,30587.68,16967.29,12544.09,132446.92,132330.05,-116.88,-0.92,0.1,-428.56,-34.34666667,41.64285714,-421.2638095,518.57
20,No_Compost,35881.01,36279.79,30564.14,16954.67,12534.94,132330.03,132214.56,-115.47,-0.92,0.1,-423.39,-34.34666667,41.64285714,-416.0938095,521.96
