Year ,GrainC1    ,LeafC1     ,StemC1     ,RootC1     ,GrainC2    ,LeafC2     ,StemC2     ,RootC2     ,GrainC3    ,LeafC3     ,StemC3     ,RootC3     ,SOC 0-10cm ,SOC 10-20cm,SOC 20-30cm,SOC 30-40cm,SOC 40-50cm,SOC_0-10cm ,SOC_10-20cm,SOC_20-30cm,SOC_30-40cm,SOC_40-50cm,IniSOC     ,End_SOC    ,dSOC       ,ShootLitterC_input,RootLitterC_input,ManureC_input,RootExudation_DOC,Soil-CO2   ,Leach_C    ,Runoff_C   ,CH4        ,IniSON     ,IniSIN     ,EndSON     ,EndSIN     ,dSN        ,Atmo_N_input,Fertilizer_N_input,Manure_N_input,Litter_N_input,N_fixation ,Crop_N_uptake,Leach_NO3  ,Runoff_SON ,Leach_DON  ,N2O_flux   ,NO_flux    ,N2_flux    ,NH3_flux   ,exchengeable-NH4,PET        ,Transpiration,Evaporation,WaterLeach ,Runoff     ,Irrigation ,Precipitation,DeepWater  ,MeanT      ,WindSpeed  ,ColdStress ,WaterStress,N_Stress   ,Cut_CropC  ,yr_end_grain,yr_end_leaf,yr_end_stem,yr_end_root,yr_end_stub
1,150.36,143.47,567.01,286.95,0,0,0,0,0,0,0,0,0.0403,0.038,0.038,0.038,0.038,34484.88,32508.65,32509.3,32510.27,48766.84,178789.06,180779.94,1990.88,291.31,8.21,1950,71.69,330.63,0,0,-1.25,17718,2.59,17867.05,1.56,148.02,0,0,225,8.65,0,9.41,0,0,0,0.32,0,0.02,0.06,1.54,1048.69,51.67,748.38,380.5,77.86,540,611.9,0.09,12.89,2,0.77,0.86,0.2,0,1.98,1.89,565.67,237.64,0
2,148.1,141.32,558.49,282.64,0,0,0,0,0,0,0,0,0.0425,0.038,0.038,0.038,0.038,36316.47,32500.32,32503.33,32507.4,48766.97,180779.95,182594.48,1814.53,293.29,18.65,1950,167.34,614.32,0,0.02,-0.92,17867.05,1.56,18015.5,1.79,148.68,0,0,225,9.91,0,9.28,0,0,0,0.01,0,0.01,0.1,1.77,1048.3,50.76,604.84,399.12,44.43,540,611.9,0.09,12.89,2,0.77,0.89,0.21,0,2.16,2.06,1119.94,408.14,0
3,153.86,146.81,580.21,293.63,0,0,0,0,0,0,0,0,0.0445,0.038,0.038,0.038,0.038,38095.12,32488.34,32493.4,32500.42,48761.23,182594.47,184338.5,1744.03,308.51,26.82,1950,242.93,783.37,0,0.02,-0.67,18015.5,1.79,18163.72,1.84,148.27,0,0,225,11.25,0,10.2,0,0,0,0.02,0,0.01,0.12,1.81,1047.9,55.56,534.64,453.74,58.67,540,611.9,4.98,12.89,2,0.77,0.91,0.21,0,2.31,2.2,1692.02,540.55,0
4,156.39,149.23,589.76,298.46,0,0,0,0,0,0,0,0,0.0466,0.038,0.038,0.038,0.038,39849.84,32474.17,32480.89,32490.57,48750.74,184338.52,186046.22,1707.7,318.57,33.04,1950,300.53,893.16,0,0.02,-0.41,18163.72,1.84,18311.88,1.85,148.17,0,0,225,12.21,0,10.63,0,0,0,0.02,0,0.01,0.13,1.83,1047.49,57.69,492.53,492.44,65.14,540,611.9,14.28,12.89,2,0.77,0.92,0.21,0,2.33,2.22,2268.8,640.39,0
5,159.1,151.81,599.96,303.62,0,0,0,0,0,0,0,0,0.0486,0.0379,0.038,0.038,0.038,41578.74,32459.07,32467.25,32479.42,48738.28,186046.2,187722.75,1676.55,329.63,37.76,1950,343.95,983.41,0.01,0.02,-0.35,18311.88,1.85,18459.82,1.9,147.99,0,0,225,13.02,0,11.14,0,0,0,0.02,0,0.01,0.15,1.88,1047.08,60.26,457.9,528.34,65.53,540,611.9,20.19,12.89,2,0.77,0.92,0.21,0,2.37,2.26,2849.96,717.04,0
6,162.41,154.97,612.45,309.94,0,0,0,0,0,0,0,0,0.0506,0.0379,0.0379,0.038,0.038,43278.08,32443.44,32452.98,32467.55,48724.68,187722.78,189366.72,1643.94,342.88,41.45,1950,377.92,1066.84,0.01,0.02,-0.34,18459.82,1.9,18607.46,1.96,147.69,0,0,225,13.75,0,11.78,0,0,0,0.02,0,0.01,0.17,1.93,1046.66,63.47,432.41,552.74,65.82,540,611.9,24.18,12.89,2,0.77,0.92,0.21,0,2.41,2.3,3436.84,777.84,0
7,165.77,158.18,625.11,316.35,0,0,0,0,0,0,0,0,0.0525,0.0379,0.0379,0.0379,0.038,44953.25,32427.46,32438.32,32455.18,48710.41,189366.73,190984.63,1617.89,357.22,44.41,1950,405.21,1137.48,0.01,0.02,-0.35,18607.46,1.96,18754.81,2.02,147.41,0,0,225,14.42,0,12.42,0,0,0,0.03,0,0.01,0.2,1.99,1046.24,66.67,412.43,570.39,66.03,540,611.9,27.51,12.89,2,0.77,0.92,0.22,0,2.44,2.33,4028.6,827.22,0
8,169.04,161.3,637.45,322.6,0,0,0,0,0,0,0,0,0.0545,0.0379,0.0379,0.0379,0.0379,46611.98,32411.23,32423.38,32442.48,48695.58,190984.59,192584.66,1600.06,372.36,46.85,1950,427.61,1195.28,0.01,0.02,-0.34,18754.81,2.02,18901.9,2.08,147.15,0,0,225,15.04,0,13.03,0,0,0,0.03,0,0.01,0.22,2.04,1045.82,69.74,396.89,584.04,66.19,540,611.9,29.81,12.89,2,0.77,0.92,0.22,0,2.48,2.37,4623.95,868.19,0
9,172.41,164.51,650.15,329.02,0,0,0,0,0,0,0,0,0.0564,0.0379,0.0379,0.0379,0.0379,48256.85,32394.84,32408.26,32429.54,48680.43,192584.67,194169.91,1585.23,388.68,48.91,1950,446.51,1247.26,0.01,0.02,-0.34,18901.9,2.08,19048.71,2.15,146.88,0,0,225,15.64,0,13.67,0,0,0,0.03,0,0.01,0.24,2.11,1045.4,72.88,383.3,564.76,66.32,510,611.9,31.74,12.89,2,0.77,0.92,0.23,0,2.53,2.41,5222.25,903.23,0
10,175.75,167.7,662.76,335.4,0,0,0,0,0,0,0,0,0.0583,0.0378,0.0379,0.0379,0.0379,49892.86,32378.31,32393,32416.44,48664.97,194169.88,195745.58,1575.7,405.97,50.69,1950,462.9,1292.34,0.01,0.02,-0.34,19048.71,2.15,19195.33,2.2,146.66,0,0,225,16.23,0,14.29,0,0,0,0.04,0,0.01,0.26,2.16,1044.97,75.95,372.26,603.13,66.43,540,611.9,33.15,12.89,2,0.77,0.92,0.23,0,2.56,2.45,5822.42,933.91,0
11,179.05,170.85,675.2,341.7,0,0,0,0,0,0,0,0,0.0602,0.0378,0.0378,0.0379,0.0379,51519.69,32361.7,32377.64,32403.29,48649.52,195745.61,197311.84,1566.23,424.11,52.27,1950,477.39,1335.95,0.01,0.02,-0.35,19195.33,2.2,19341.7,2.27,146.44,0,0,225,16.81,0,14.9,0,0,0,0.04,0,0.01,0.29,2.23,1044.55,78.93,361.96,610.45,66.53,540,611.9,35.02,12.89,2,0.77,0.92,0.23,0,2.61,2.49,6423.32,961.38,0
12,182.37,174.02,687.73,348.04,0,0,0,0,0,0,0,0,0.0621,0.0378,0.0378,0.0379,0.0379,53143.26,32345.01,32362.21,32389.97,48633.77,197311.86,198874.22,1562.36,443.29,53.71,1950,490.57,1373.56,0.01,0.03,-0.34,19341.7,2.27,19487.87,2.33,146.23,0,0,225,17.39,0,15.52,0,0,0,0.04,0,0.01,0.31,2.29,1044.12,81.92,352.86,616.74,66.61,540,611.9,35.72,12.89,2,0.77,0.92,0.24,0,2.65,2.53,7024.07,986.55,0
13,474.61,452.87,1789.73,905.74,0,0,0,0,0,0,0,0,0.0647,0.0378,0.0378,0.0379,0.0379,55340.09,32342.46,32361.17,32390.5,48636.79,198874.25,201071.02,2196.77,1042.4,71.79,1950,614.03,1481.18,0,0.03,-0.62,19487.87,2.33,19651.19,19.25,180.24,0,0,337.5,35.1,0,67.64,0,0,0,4.27,0.09,0.04,0.79,7.24,1043.36,355.78,242.9,52.97,1.2,0,611.9,0.07,12.89,2,0.77,0.78,0.49,0,0.07,0.06,8703.92,1457.61,0
14,572.42,546.2,2158.59,1092.4,0,0,0,0,0,0,0,0,0.0674,0.0378,0.0378,0.0379,0.0379,57664.09,32337.11,32357.5,32387.99,48635.74,201071,203382.44,2311.44,1262.21,98.83,1950,881.82,1881.09,0.01,0.04,-0.66,19651.19,19.25,19820.54,18.09,168.2,0,0,337.5,43.81,0,85.15,0,0.01,0,4.74,0.1,0.05,0.89,7.2,1041.9,446.4,187.63,432.32,48.93,540,611.9,0.08,12.89,2,0.77,0.76,0.58,0,0.07,0.07,10718.89,1951.32,0
15,575.73,549.36,2171.09,1098.73,0,0,0,0,0,0,0,0,0.0701,0.0378,0.0378,0.0379,0.0379,59929.43,32328.41,32350.26,32381.96,48629.27,203382.44,205619.34,2236.91,1307.18,121.55,1950,1088.23,2229.68,0.01,0.04,-0.65,19820.54,18.09,19990.72,16.95,169.04,0,0,337.5,47.39,0,85.61,0,0.01,0,4.78,0.1,0.05,0.89,7.18,1040.51,447.33,167.03,450.32,50.47,540,611.9,0.1,12.89,2,0.77,0.76,0.58,0,0.07,0.07,12707.89,2314.05,0
16,576.86,550.44,2175.35,1100.88,0,0,0,0,0,0,0,0,0.0727,0.0378,0.0378,0.0378,0.0379,62149.29,32317.36,32340.8,32373.7,48619.28,205619.31,207800.42,2181.11,1350.57,138.17,1950,1238.82,2496.11,0.01,0.04,-0.65,19990.72,16.95,20161.58,16.15,170.06,0,0,337.5,50.19,0,85.7,0,0.01,0,4.84,0.11,0.05,0.9,7.17,1039.13,446.36,152.35,465.13,51.62,540,611.9,0.07,12.89,2,0.77,0.77,0.57,0,0.07,0.07,14659.97,2578.65,0
17,578.55,552.05,2181.7,1104.1,0,0,0,0,0,0,0,0,0.0752,0.0378,0.0378,0.0378,0.0379,64332.13,32304.85,32329.95,32364.03,48607.1,207800.44,209938.05,2137.61,1397.6,150.34,1950,1349.23,2709.14,0.01,0.04,-0.65,20161.58,16.15,20333.03,15.66,170.96,0,0,337.5,52.54,0,85.92,0,0.01,0,4.87,0.11,0.05,0.92,7.17,1037.78,446.03,140.1,475.86,52.43,540,611.9,0.06,12.89,2,0.77,0.77,0.57,0,0.07,0.07,16574.67,2773.11,0
18,581.01,554.39,2190.97,1108.79,0,0,0,0,0,0,0,0,0.0777,0.0377,0.0378,0.0378,0.0379,66495.66,32291.41,32318.16,32353.44,48593.46,209938.03,212052.14,2114.11,1448.6,159.36,1950,1431.31,2874.73,0.01,0.04,-0.64,20333.03,15.66,20505.11,15.38,171.81,0,0,337.5,54.61,0,86.27,0,0.01,0,4.86,0.11,0.05,0.93,7.2,1036.45,446.4,129.95,484.46,53.14,540,611.9,0.06,12.89,2,0.77,0.78,0.57,0,0.07,0.07,18452.44,2917.88,0
19,586.29,559.44,2210.9,1118.87,0,0,0,0,0,0,0,0,0.0802,0.0377,0.0378,0.0378,0.0379,68645.21,32277.34,32305.82,32342.29,48578.93,212052.14,214149.59,2097.45,1507.56,166.23,1950,1493.29,3019.16,0.01,0.05,-0.65,20505.11,15.38,20677.97,14.82,172.29,0,0,337.5,56.62,0,87.1,0,0.01,0,4.86,0.11,0.05,0.94,7.2,1035.15,449.26,121.09,490.49,53.75,540,611.9,0.08,12.89,2,0.77,0.78,0.57,0,0.08,0.07,20301.5,3031.16,0
20,589.28,562.29,2222.17,1124.58,0,0,0,0,0,0,0,0,0.0827,0.0377,0.0377,0.0378,0.0378,70779.77,32262.76,32293.06,32330.72,48563.69,214149.61,216230,2080.39,1564.36,171.55,1950,1540.79,3145.85,0.01,0.05,-0.64,20677.97,14.82,20851.44,14.44,173.1,0,0,337.5,58.37,0,87.53,0,0.01,0,4.84,0.11,0.05,0.96,7.23,1033.88,450.04,113.6,497.57,54.33,540,611.9,0.08,12.89,2,0.77,0.78,0.57,0,0.08,0.07,22110.88,3118.02,0
