Year ,GrainC1    ,LeafC1     ,StemC1     ,RootC1     ,GrainC2    ,LeafC2     ,StemC2     ,RootC2     ,GrainC3    ,LeafC3     ,StemC3     ,RootC3     ,SOC 0-10cm ,SOC 10-20cm,SOC 20-30cm,SOC 30-40cm,SOC 40-50cm,SOC_0-10cm ,SOC_10-20cm,SOC_20-30cm,SOC_30-40cm,SOC_40-50cm,IniSOC     ,End_SOC    ,dSOC       ,ShootLitterC_input,RootLitterC_input,ManureC_input,RootExudation_DOC,Soil-CO2   ,Leach_C    ,Runoff_C   ,CH4        ,IniSON     ,IniSIN     ,EndSON     ,EndSIN     ,dSN        ,Atmo_N_input,Fertilizer_N_input,Manure_N_input,Litter_N_input,N_fixation ,Crop_N_uptake,Leach_NO3  ,Runoff_SON ,Leach_DON  ,N2O_flux   ,NO_flux    ,N2_flux    ,NH3_flux   ,exchengeable-NH4,PET        ,Transpiration,Evaporation,WaterLeach ,Runoff     ,Irrigation ,Precipitation,DeepWater  ,MeanT      ,WindSpeed  ,ColdStress ,WaterStress,N_Stress   ,Cut_CropC  ,yr_end_grain,yr_end_leaf,yr_end_stem,yr_end_root,yr_end_stub
1,151.09,144.17,569.76,288.34,0,0,0,0,0,0,0,0,0.0206,0.019,0.019,0.019,0.019,25931.42,23943.2,23944.02,23944.91,35918.43,131669.92,133681.98,2012.06,295.15,8.42,1950,74.6,317.7,0,0,-1.07,13048.49,3.81,13198.39,1.57,147.66,0,0,225,8.78,0,9.74,0,0,0,0.39,0,0.02,0.15,1.54,1053.53,53.44,752.42,377.72,75.74,540,611.9,0.06,12.89,2,0.77,0.84,0.21,0,0.76,0.73,568.39,237.74,0
2,146.68,139.96,553.13,279.92,0,0,0,0,0,0,0,0,0.022,0.019,0.019,0.019,0.019,27761.39,23937.2,23940.53,23943.97,35920.6,133681.95,135503.69,1821.73,288.21,18.57,1950,166.28,602.9,0,0.02,-0.86,13198.39,1.57,13347.04,1.63,148.72,0,0,225,9.77,0,8.94,0,0,0,0.01,0,0.01,0.27,1.61,1053.15,48.86,615.89,396.54,40.36,540,611.9,0.1,12.89,2,0.77,0.88,0.2,0,2.12,2.02,1117.29,405.98,0
3,153.74,146.7,579.76,293.4,0,0,0,0,0,0,0,0,0.0234,0.019,0.019,0.019,0.019,29524.56,23927.81,23933.44,23939.19,35917.08,135503.67,137242.08,1738.41,308.13,26.7,1950,241.2,789.1,0.01,0.02,-0.71,13347.04,1.63,13495.12,1.7,148.15,0,0,225,11.23,0,10.08,0,0,0,0.02,0,0.01,0.35,1.68,1052.75,54.91,543.68,451.59,53.37,540,611.9,1.7,12.89,2,0.77,0.91,0.2,0,2.34,2.23,1688.95,538.91,0
4,158.87,151.59,599.09,303.18,0,0,0,0,0,0,0,0,0.0248,0.019,0.019,0.019,0.019,31241.89,23916.53,23924.15,23931.93,35909.5,137242.08,138924,1681.92,323.4,33.09,1950,300.29,926.23,0.01,0.02,-0.55,13495.12,1.7,13642.72,1.72,147.61,0,0,225,12.35,0,11.03,0,0,0,0.02,0,0.01,0.42,1.69,1052.33,59.9,503.77,481.31,63.61,540,611.9,9.69,12.89,2,0.77,0.92,0.21,0,2.37,2.26,2275.05,643.18,0
5,161.72,154.31,609.83,308.62,0,0,0,0,0,0,0,0,0.0261,0.019,0.019,0.019,0.019,32944.7,23904.34,23913.74,23923.57,35900.04,138924.02,140586.38,1662.36,334.9,38.03,1950,346.06,1007.88,0.01,0.02,-0.41,13642.72,1.72,13790.11,1.71,147.38,0,0,225,13.19,0,11.58,0,0,0,0.02,0,0.01,0.46,1.68,1051.91,62.6,472.6,511.07,65.29,540,611.9,15.32,12.89,2,0.77,0.92,0.21,0,2.37,2.26,2866,723.18,0
6,163.65,156.16,617.14,312.32,0,0,0,0,0,0,0,0,0.0275,0.019,0.019,0.019,0.019,34644.97,23891.56,23902.67,23914.37,35889.37,140586.39,142242.94,1656.55,345.48,41.8,1950,380.85,1062.79,0.01,0.02,-0.31,13790.11,1.71,13937.38,1.73,147.29,0,0,225,13.86,0,11.94,0,0,0,0.03,0,0.01,0.49,1.7,1051.49,64.34,445.46,537.45,65.59,540,611.9,21.2,12.89,2,0.77,0.92,0.21,0,2.4,2.29,3457.41,784.24,0
7,167.66,159.98,632.23,319.95,0,0,0,0,0,0,0,0,0.0288,0.019,0.019,0.019,0.019,36321.79,23878.46,23891.24,23904.72,35878.08,142242.94,143874.3,1631.36,361.12,44.81,1950,408.56,1134.36,0.01,0.02,-0.3,13937.38,1.73,14084.25,1.75,146.88,0,0,225,14.57,0,12.7,0,0,0,0.03,0,0.01,0.55,1.72,1051.06,68.18,422.35,558.55,65.84,540,611.9,24.29,12.89,2,0.77,0.92,0.22,0,2.44,2.32,4056.07,834.81,0
8,171.85,163.98,648.06,327.96,0,0,0,0,0,0,0,0,0.0301,0.0189,0.019,0.019,0.019,37978.71,23865.14,23879.56,23894.77,35866.35,143874.3,145484.53,1610.23,378.18,47.36,1950,431.93,1198.52,0.01,0.02,-0.29,14084.25,1.75,14230.68,1.77,146.45,0,0,225,15.25,0,13.49,0,0,0,0.04,0,0.01,0.61,1.74,1050.63,72.19,404.44,573.63,66.03,540,611.9,27.35,12.89,2,0.77,0.92,0.22,0,2.48,2.36,4661.69,878.11,0
9,176.21,168.14,664.49,336.28,0,0,0,0,0,0,0,0,0.0314,0.0189,0.0189,0.019,0.019,39618.31,23851.68,23867.74,23884.65,35854.35,145484.5,147076.73,1592.23,396.57,49.57,1950,452.28,1257.49,0.01,0.02,-0.29,14230.68,1.77,14376.67,1.8,146.01,0,0,225,15.92,0,14.31,0,0,0,0.04,0,0.01,0.68,1.76,1050.19,76.33,388.74,555.68,66.19,510,611.9,29.64,12.89,2,0.77,0.92,0.22,0,2.53,2.42,5273.85,916.4,0
10,180.51,172.25,680.72,344.49,0,0,0,0,0,0,0,0,0.0327,0.0189,0.0189,0.0189,0.019,41244.95,23838.13,23855.82,23874.41,35842.07,147076.73,148655.39,1578.66,415.98,51.56,1950,470.52,1310.71,0.01,0.03,-0.29,14376.67,1.8,14522.26,1.82,145.61,0,0,225,16.59,0,15.12,0,0,0,0.05,0,0.01,0.74,1.78,1049.75,80.37,375.96,594.84,66.32,540,611.9,31.33,12.89,2,0.77,0.92,0.23,0,2.57,2.45,5891.29,950.95,0
11,184.87,176.4,697.13,352.8,0,0,0,0,0,0,0,0,0.034,0.0189,0.0189,0.0189,0.019,42859.82,23824.54,23843.84,23864.11,35829.8,148655.41,150222.11,1566.7,436.41,53.38,1950,487.17,1361.6,0.01,0.03,-0.3,14522.26,1.82,14667.42,1.85,145.2,0,0,225,17.25,0,15.94,0,0,0,0.06,0,0.01,0.81,1.81,1049.31,84.4,364.29,602.89,66.43,540,611.9,32.49,12.89,2,0.77,0.92,0.23,0,2.63,2.51,6513.14,982.89,0
12,189.13,180.47,713.2,360.93,0,0,0,0,0,0,0,0,0.0353,0.0189,0.0189,0.0189,0.019,44469.43,23810.92,23831.82,23853.71,35817.25,150222.13,151783.13,1561,457.84,55.07,1950,502.71,1405.98,0.01,0.03,-0.29,14667.42,1.85,14812.24,1.87,144.84,0,0,225,17.92,0,16.73,0,0,0,0.07,0,0.02,0.87,1.83,1048.87,88.32,353.95,608.87,66.52,540,611.9,33.89,12.89,2,0.77,0.92,0.24,0,2.67,2.54,7138.03,1012.77,0
13,477.6,455.72,1801.02,911.45,0,0,0,0,0,0,0,0,0.037,0.0189,0.0189,0.0189,0.019,46639.23,23810.85,23833.37,23856.17,35822.1,151783.13,153961.72,2178.59,1049.95,73.2,1950,628.45,1524.03,0.01,0.03,-0.58,14812.24,1.87,14973.54,19.17,178.6,0,0,337.5,35.45,0,68.28,0,0,0,4.51,0.09,0.05,1.76,3.62,1048.08,359.18,242.3,48.24,1.2,0,611.9,0.07,12.89,2,0.77,0.77,0.5,0,0.06,0.06,8827.5,1481,0
14,577.38,550.94,2177.31,1101.88,0,0,0,0,0,0,0,0,0.0388,0.0189,0.0189,0.0189,0.019,48935.73,23808.17,23832.11,23855.81,35823.44,153961.72,156255.25,2293.53,1273.88,100.22,1950,897.55,1929.4,0.01,0.04,-0.57,14973.54,19.17,15140.89,18.07,166.25,0,0,337.5,44.27,0,86.01,0,0.02,0,5.16,0.1,0.06,1.86,3.53,1046.6,450.93,188.53,429.2,46.17,540,611.9,0.06,12.89,2,0.77,0.76,0.59,0,0.07,0.06,10859.24,1975.74,0
15,582.24,555.57,2195.62,1111.15,0,0,0,0,0,0,0,0,0.0406,0.0189,0.0189,0.0189,0.019,51178.6,23801.81,23827.46,23852.06,35819.6,156255.25,158479.53,2224.28,1322.27,123.08,1950,1105.7,2278.05,0.02,0.04,-0.57,15140.89,18.07,15308.95,16.99,166.97,0,0,337.5,47.95,0,86.71,0,0.01,0,5.16,0.11,0.05,1.88,3.47,1045.18,453.07,167.48,446.07,47.86,540,611.9,0.05,12.89,2,0.77,0.76,0.58,0,0.07,0.07,12870.4,2341.49,0
16,584.86,558.07,2205.51,1116.15,0,0,0,0,0,0,0,0,0.0424,0.0189,0.0189,0.0189,0.0189,53372.63,23793.6,23820.69,23846.24,35812.54,158479.52,160645.7,2166.19,1369.12,139.93,1950,1258.62,2552.78,0.02,0.04,-0.57,15308.95,16.99,15477.51,16.26,167.84,0,0,337.5,50.86,0,87.05,0,0.01,0,5.2,0.11,0.06,1.91,3.43,1043.77,453.36,151.7,460.62,49.14,540,611.9,0.09,12.89,2,0.77,0.76,0.58,0,0.07,0.07,14849.73,2610.42,0
17,588.64,561.68,2219.77,1123.37,0,0,0,0,0,0,0,0,0.0441,0.0189,0.0189,0.0189,0.0189,55530.95,23783.9,23812.57,23839.08,35803.41,160645.72,162769.92,2124.2,1420.93,152.42,1950,1372.11,2772.54,0.02,0.04,-0.57,15477.51,16.26,15646.57,15.74,168.54,0,0,337.5,53.37,0,87.63,0,0.01,0,5.17,0.11,0.06,1.95,3.4,1042.39,454.91,138.62,470.69,50.16,540,611.9,0.07,12.89,2,0.77,0.77,0.58,0,0.07,0.07,16798.89,2811.12,0
18,592.95,565.79,2236,1131.58,0,0,0,0,0,0,0,0,0.0458,0.0189,0.0189,0.0189,0.0189,57666.94,23773.27,23803.56,23831.05,35792.91,162769.91,164867.73,2097.83,1476.38,161.82,1950,1457.25,2948.88,0.02,0.05,-0.57,15646.57,15.74,15816.19,15.26,169.15,0,0,337.5,55.6,0,88.3,0,0.01,0,5.16,0.11,0.06,1.99,3.38,1041.03,456.91,128.35,479.09,50.91,540,611.9,0.06,12.89,2,0.77,0.77,0.58,0,0.07,0.07,18717.25,2963.47,0
19,596.27,568.96,2248.51,1137.91,0,0,0,0,0,0,0,0,0.0474,0.0189,0.0189,0.0189,0.0189,59782.3,23762.04,23793.95,23822.41,35781.46,164867.73,166942.16,2074.42,1532.38,168.96,1950,1522.04,3100.29,0.02,0.05,-0.57,15816.19,15.26,15986.26,15.05,169.86,0,0,337.5,57.56,0,88.83,0,0.01,0,5.13,0.11,0.05,2.04,3.38,1039.69,458.16,119.29,485.37,51.58,540,611.9,0.05,12.89,2,0.77,0.77,0.58,0,0.07,0.07,20598.59,3079.11,0
20,601.02,573.5,2266.46,1146.99,0,0,0,0,0,0,0,0,0.0491,0.0188,0.0189,0.0189,0.0189,61887.64,23750.25,23783.92,23813.37,35769.34,166942.16,169004.52,2062.36,1593.58,174.5,1950,1572.31,3229.3,0.02,0.05,-0.57,15986.26,15.05,16156.9,14.8,170.39,0,0,337.5,59.44,0,89.59,0,0.01,0,5.15,0.11,0.05,2.08,3.36,1038.38,460.64,111.39,490.47,52.17,540,611.9,0.09,12.89,2,0.77,0.77,0.58,0,0.07,0.07,22445.98,3170.32,0
