Year ,GrainC1    ,LeafC1     ,StemC1     ,RootC1     ,GrainC2    ,LeafC2     ,StemC2     ,RootC2     ,GrainC3    ,LeafC3     ,StemC3     ,RootC3     ,SOC 0-10cm ,SOC 10-20cm,SOC 20-30cm,SOC 30-40cm,SOC 40-50cm,SOC_0-10cm ,SOC_10-20cm,SOC_20-30cm,SOC_30-40cm,SOC_40-50cm,IniSOC     ,End_SOC    ,dSOC       ,ShootLitterC_input,RootLitterC_input,ManureC_input,RootExudation_DOC,Soil-CO2   ,Leach_C    ,Runoff_C   ,CH4        ,IniSON     ,IniSIN     ,EndSON     ,EndSIN     ,dSN        ,Atmo_N_input,Fertilizer_N_input,Manure_N_input,Litter_N_input,N_fixation ,Crop_N_uptake,Leach_NO3  ,Runoff_SON ,Leach_DON  ,N2O_flux   ,NO_flux    ,N2_flux    ,NH3_flux   ,exchengeable-NH4,PET        ,Transpiration,Evaporation,WaterLeach ,Runoff     ,Irrigation ,Precipitation,DeepWater  ,MeanT      ,WindSpeed  ,ColdStress ,WaterStress,N_Stress   ,Cut_CropC  ,yr_end_grain,yr_end_leaf,yr_end_stem,yr_end_root,yr_end_stub
1,402.8,384.35,1518.96,768.7,0,0,0,0,6.47,3.95,3.95,3.59,0.0414,0.038,0.038,0.038,0.038,35442.24,32525.38,32524.81,32524.89,48787.98,178789.06,181805.3,3016.23,790.78,26.46,2250,179.92,232.1,0,0,-1.6,17718,2.59,17883.17,19.42,182.01,0,0,450,23.63,0,60.22,0,0,0,1.44,0.09,0.07,2.54,9.53,1048.35,627.13,256.1,573.55,136.68,900,611.9,0.06,12.89,2,0.77,0.5,0.67,0,0.06,0.05,1515.22,628.71,0
2,344.4,328.63,1298.73,657.25,47.45,1897.85,1897.85,901.48,4.81,192.21,192.21,91.3,0.0502,0.0381,0.038,0.038,0.038,42948.22,32614.9,32532.46,32533.34,48802.4,181805.28,189431.33,7626.05,2666.51,910.28,4500,562.11,1014.46,0,0.02,-1.56,17883.17,19.42,18112.79,103.71,313.91,0,0,450,72.88,30.43,86.16,0,0,0,2.67,0.18,0.07,10.94,9.53,1047.26,751.03,96.04,377.59,99.66,900,611.9,0.08,12.89,2,0.77,0.42,0.78,0,0.06,0.06,2802.87,990.39,2263.03
3,617.97,589.67,2330.36,1179.33,10.16,406.55,406.55,193.11,393.6,240.53,240.53,218.45,0.057,0.0382,0.038,0.038,0.038,48735.5,32655,32535.43,32537.22,48809.61,189431.34,195272.77,5841.42,2153.16,491.36,4500,784.06,2088.66,0,0.02,-1.45,18112.79,103.71,18341.23,96.5,221.23,0,0,450,48.66,5.7,145.33,0,0.11,0,8.43,0.28,0.09,8.13,9.3,1045.7,800.93,28.8,471.78,106.35,900,611.9,0.08,12.89,2,0.77,0.42,0.98,0,0.07,0.06,5109.56,1678.53,3039.09
4,603.19,575.56,2274.61,1151.12,15.62,624.82,624.82,296.79,395.71,241.82,241.82,219.61,0.0635,0.0382,0.038,0.038,0.038,54346.88,32698.19,32532.82,32535.76,48808.93,195272.73,200922.56,5649.83,2418.93,626.78,4500,1073.41,2970.8,0,0.03,-1.42,18341.23,96.5,18582.04,89.66,233.97,0,0,450,53,8.67,146.38,0,0.1,0,9.57,0.3,0.11,6.9,9.14,1044.11,807.72,8.81,490.35,107.3,900,611.9,0.07,12.89,2,0.77,0.44,0.95,0,0.07,0.06,7342.59,2151.94,3985.1
5,760.73,725.88,2868.69,1451.77,12.46,498.42,498.42,236.75,0,0,0,0,0.0696,0.0382,0.038,0.038,0.038,59566.43,32713.58,32531.06,32534.9,48808.77,200922.55,206154.73,5232.19,2859.03,377.63,4500,1361.47,3867.24,0.01,0.03,-1.28,18582.04,89.66,18831.25,92.54,252.09,0,0,450,59.71,6.96,132.14,0,0.09,0,10.44,0.32,0.12,6.15,9.02,1042.15,723.3,3.49,589.8,107.58,900,611.9,0.1,12.89,2,0.77,0.49,0.97,0,0.07,0.07,10145.85,2740.63,3687.41
6,597.52,570.15,2253.25,1140.31,18.26,730.25,730.25,346.87,399.85,244.35,244.35,221.88,0.0755,0.0383,0.038,0.038,0.038,64599.48,32753.98,32521.61,32526.47,48797.46,206154.73,211199,5044.27,2676.96,727.1,4500,1521.35,4382.63,0.01,0.04,-1.43,18831.25,92.54,19081.75,83.75,241.71,0,0,450,59.94,10.09,147.17,0,0.09,0,11,0.35,0.12,5.51,8.87,1040.59,808.1,2.51,497.11,107.58,900,611.9,0.06,12.89,2,0.77,0.45,0.93,0,0.07,0.06,12307.01,2908.95,4637.53
7,553.94,528.57,2088.91,1057.14,18.06,722.47,722.47,343.17,405.11,247.56,247.56,224.71,0.0812,0.0383,0.038,0.038,0.038,69487.73,32790.96,32510.14,32516.03,48783.12,211199,216087.97,4888.97,2910.48,731.6,4500,1572.43,4827.03,0.01,0.04,-1.45,19081.75,83.75,19339.57,82.77,256.85,0,0,450,58.85,9.98,139.18,0,0.08,0,10.99,0.35,0.14,5,8.76,1039.18,793.25,2.5,496.68,107.58,900,611.9,0.06,12.89,2,0.77,0.45,0.88,0,0.07,0.06,14276.54,2962.05,5292.17
8,552.12,526.83,2082.04,1053.66,17.93,717.03,717.03,340.59,397.47,242.9,242.9,220.49,0.0868,0.0384,0.038,0.038,0.038,74226.14,32825.94,32498.4,32505.31,48768.36,216088,220824.14,4736.14,3132.81,727.14,4500,1592.81,5218.08,0.01,0.04,-1.46,19339.57,82.77,19604.23,82.07,263.95,0,0,450,59.47,9.9,137.9,0,0.08,0,11.45,0.36,0.14,4.68,8.67,1037.81,793.43,2.5,496.35,107.58,900,611.9,0.06,12.89,2,0.77,0.45,0.89,0,0.07,0.06,16209.57,2997.44,5722.56
9,553.42,528.08,2086.95,1056.15,18.07,722.72,722.72,343.29,387.81,236.99,236.99,215.13,0.0921,0.0384,0.038,0.038,0.038,78802.22,32859.74,32486.59,32494.51,48753.47,220824.13,225396.53,4572.41,3296.61,726.16,4500,1608.12,5559.98,0.01,0.04,-1.48,19604.23,82.07,19873.67,81.43,268.81,0,0,450,60.26,9.98,137.17,0,0.08,0,11.93,0.36,0.14,4.43,8.6,1036.46,791.95,2.5,496.05,107.58,900,611.9,0.06,12.89,2,0.77,0.45,0.87,0,0.07,0.06,18115.06,3024.84,6014.22
10,556.5,531.01,2098.56,1062.03,18.28,731.35,731.35,347.39,377,230.39,230.39,209.14,0.0973,0.0385,0.038,0.038,0.038,83212.18,32892.68,32474.82,32483.75,48738.61,225396.56,229802.05,4405.48,3424.29,725.71,4500,1621.32,5867.22,0.01,0.04,-1.49,19873.67,81.43,20146.6,80.94,272.44,0,0,450,61.17,10.09,136.54,0,0.08,0,12.36,0.37,0.15,4.23,8.54,1035.13,791.96,2.49,495.72,107.57,900,611.9,0.06,12.89,2,0.77,0.45,0.86,0,0.07,0.06,19996.91,3049.55,6212.93
