Year ,GrainC1    ,LeafC1     ,StemC1     ,RootC1     ,GrainC2    ,LeafC2     ,StemC2     ,RootC2     ,GrainC3    ,LeafC3     ,StemC3     ,RootC3     ,SOC0-10cm ,SOC10-20cm,SOC 20-30cm,SOC 30-40cm,SOC 40-50cm,SOC_0-10cm ,SOC_10-20cm,SOC_20-30cm,SOC_30-40cm,SOC_40-50cm,IniSOC     ,End_SOC    ,dSOC       ,ShootLitterC_input,RootLitterC_input,ManureC_input,RootExudation_DOC,Soil-CO2   ,Leach_C    ,Runoff_C   ,CH4        ,IniSON     ,IniSIN     ,EndSON     ,EndSIN     ,dSN        ,Atmo_N_input,Fertilizer_N_input,Manure_N_input,Litter_N_input,N_fixation ,Crop_N_uptake,Leach_NO3  ,Runoff_SON ,Leach_DON  ,N2O_flux   ,NO_flux    ,N2_flux    ,NH3_flux   ,exchengeable-NH4,PET        ,Transpiration,Evaporation,WaterLeach ,Runoff     ,Irrigation ,Precipitation,DeepWater  ,MeanT      ,WindSpeed  ,ColdStress ,WaterStress,N_Stress   ,Cut_CropC  ,yr_end_grain,yr_end_leaf,yr_end_stem,yr_end_root,yr_end_stub
1,466.47,445.11,1759.07,890.22,0,0,0,0,0,0,0,0,0.0391,0.038,0.038,0.038,0.038,33408.74,32527.44,32527.5,32528.08,48792.79,178789.06,179784.55,995.48,915.8,26.47,0,209.71,157.41,0,0,-1.49,17718,2.59,17736.86,88.72,105,0,150,0,27.28,0,69.19,0.01,0,0,0.34,0,0.03,0.09,2.32,1048.25,379.75,430.46,374.37,77.86,540,611.9,0.08,12.89,2,0.77,0.61,0.64,0,0.05,0.05,1754.75,728.39,0
2,838.17,799.78,3160.71,1599.55,0,0,0,0,0,0,0,0,0.0409,0.038,0.038,0.038,0.0381,34948.98,32547.62,32548.35,32549.75,48827.54,179784.58,181422.23,1637.66,1655.59,80.55,0,773.44,873.34,0,0.01,-1.6,17736.86,88.72,17778.02,103.98,56.42,0,150,0,53.09,0,136.91,0.02,0.04,0,1.46,0.04,0.04,0.23,3.1,1045.98,748.61,59.65,258.34,38.22,540,611.9,0.07,12.89,2,0.77,0.49,1,0,0.07,0.06,4897.78,1835.43,0
3,847.36,808.55,3195.38,1617.1,0,0,0,0,0,0,0,0,0.0425,0.0381,0.0381,0.0381,0.0381,36318.93,32550.63,32552.36,32554.27,48835.95,181422.22,182812.13,1389.91,1694.25,131.69,0,1246.14,1683.55,0,0.03,-1.51,17778.02,103.98,17821.49,118.07,57.56,0,150,0,59.98,0,138.36,0.02,0.04,0,0.71,0.04,0.04,0.27,3.33,1043.75,753.74,41.95,265.31,44.94,540,611.9,0.06,12.89,2,0.77,0.5,1,0,0.07,0.07,8054.82,2648.64,0
4,862.17,822.69,3251.25,1645.37,0,0,0,0,0,0,0,0,0.0439,0.038,0.0381,0.0381,0.0381,37585.85,32547.61,32550.49,32552.98,48835.55,182812.16,184072.47,1260.31,1749.09,169.7,0,1598.76,2258.53,0.01,0.03,-1.42,17821.49,118.07,17867.26,129.32,57.02,0,150,0,65.72,0,140.72,0.02,0.04,0,0.85,0.04,0.04,0.29,3.46,1041.5,763.82,33.75,263.37,47.97,540,611.9,0.06,12.89,2,0.77,0.5,1,0,0.07,0.07,11241.85,3258.63,0
5,866.79,827.09,3268.67,1654.18,0,0,0,0,0,0,0,0,0.0453,0.038,0.038,0.038,0.0381,38764.76,32541.11,32545.24,32548.36,48830.14,184072.47,185229.63,1157.16,1789.13,197.85,0,1859.26,2690.34,0.01,0.03,-1.31,17867.26,129.32,17914.64,139.52,57.58,0,150,0,69.86,0,141.42,0.02,0.04,0,0.96,0.05,0.04,0.31,3.54,1039.25,764.84,28.79,265.28,49.74,540,611.9,0.1,12.89,2,0.77,0.5,1,0,0.07,0.07,14415.28,3706.13,0
6,872.17,832.22,3288.95,1664.45,0,0,0,0,0,0,0,0,0.0467,0.038,0.038,0.038,0.038,39909.96,32532.4,32537.92,32541.69,48821.62,185229.61,186343.58,1113.97,1835.65,218.61,0,2051.31,2992.83,0.01,0.04,-1.26,17914.64,139.52,17963.56,148.61,58,0,150,0,73.26,0,142.24,0.02,0.04,0,1.07,0.05,0.04,0.31,3.61,1037.02,766.53,25.31,266.6,50.94,540,611.9,0.05,12.89,2,0.77,0.5,1,0,0.07,0.07,17572.98,4037.4,0
7,869.88,830.04,3280.32,1660.08,0,0,0,0,0,0,0,0,0.0479,0.038,0.038,0.038,0.038,41017.36,32522.09,32529.06,32533.51,48810.84,186343.56,187412.84,1069.28,1871.95,233.62,0,2189.41,3226.96,0.01,0.04,-1.27,17963.56,148.61,18013.64,157.85,59.32,0,150,0,75.69,0,141.81,0.03,0.04,0,1.13,0.05,0.05,0.32,3.69,1034.83,761.51,22.61,272.71,51.93,540,611.9,0.07,12.89,2,0.77,0.5,1,0,0.07,0.07,20681.28,4272.63,0
8,879.72,839.43,3317.43,1678.86,0,0,0,0,0,0,0,0,0.0492,0.038,0.038,0.038,0.038,42083.11,32510.94,32519.44,32524.56,48798.88,187412.84,188436.92,1024.08,1936.76,244.94,0,2295,3453.84,0.01,0.04,-1.21,18013.64,157.85,18065.44,165.36,59.31,0,150,0,78.39,0,143.36,0.03,0.04,0,1.18,0.06,0.05,0.34,3.8,1032.65,767.12,20.81,268.4,52.86,540,611.9,0.08,12.89,2,0.77,0.5,1,0,0.07,0.07,23781.1,4457.94,0
9,883.9,843.41,3333.18,1686.83,0,0,0,0,0,0,0,0,0.0504,0.038,0.038,0.038,0.038,43119.02,32499.12,32509.18,32515,48786.01,188436.94,189428.33,991.39,1995.23,253.65,0,2375.69,3634.41,0.01,0.04,-1.22,18065.44,165.36,18118.72,172.08,60.01,0,150,0,80.59,0,143.98,0.03,0.04,0,1.18,0.06,0.05,0.36,3.91,1030.5,767.78,18.91,239.05,53.64,510,611.9,0.09,12.89,2,0.77,0.5,1,0,0.07,0.07,26846.36,4598.38,0
10,887.61,846.95,3347.15,1693.9,0,0,0,0,0,0,0,0,0.0516,0.038,0.038,0.038,0.038,44144.92,32486.8,32498.45,32504.99,48772.42,189428.31,190407.58,979.27,2057.31,260.28,0,2437.19,3776.81,0.01,0.04,-1.24,18118.72,172.08,18173.48,178.08,60.75,0,150,0,82.6,0,144.53,0.03,0.04,0,1.24,0.06,0.06,0.37,4.01,1028.38,768.04,17.22,269.59,54.29,540,611.9,0.05,12.89,2,0.77,0.5,1,0,0.07,0.07,29870.75,4705.51,0
11,860.72,821.3,3245.77,1642.6,0,0,0,0,0,0,0,0,0.0527,0.038,0.038,0.038,0.038,45114.11,32473.6,32486.85,32494.14,48757.57,190407.56,191326.27,918.7,2063.15,263.65,0,2464.92,3874.47,0.01,0.04,-1.32,18173.48,178.08,18228.22,188.31,64.97,0,150,0,82.73,0,140.1,0.03,0.04,0,1.26,0.06,0.06,0.38,4.1,1026.36,741.95,16.27,295.08,54.82,540,611.9,0.07,12.89,2,0.77,0.49,1,0,0.07,0.07,32735.38,4740.34,0
12,895.32,854.31,3376.24,1708.62,0,0,0,0,0,0,0,0,0.0539,0.0379,0.038,0.038,0.038,46137.3,32460.92,32475.82,32483.86,48743.54,191326.3,192301.44,975.14,2193.57,267.21,0,2501.46,3988.35,0.01,0.04,-1.24,18228.22,188.31,18285.94,192.99,62.4,0,150,0,86.13,0,145.67,0.03,0.04,0,1.28,0.06,0.06,0.4,4.22,1024.32,768.86,14.7,270.43,55.29,540,611.9,0.05,12.89,2,0.77,0.5,1,0,0.07,0.07,35667.7,4820,0
13,639.76,610.46,2412.52,1220.91,0,0,0,0,0,0,0,0,0.0546,0.0379,0.0379,0.038,0.038,46693.79,32443.31,32460.9,32469.77,48723.68,192301.44,192791.45,490.02,1753.44,256.17,0,2355.46,3877.44,0,0.05,-1.57,18285.94,192.99,18333.1,238.49,92.66,0,150,0,72.83,0,104.05,0.03,0.04,0,0.27,0.02,0.03,0.64,5.21,1023,547.34,9.56,0,1.2,0,611.9,0.05,12.89,2,0.77,0.33,1,0,0.07,0.07,37576.98,4473.96,0
14,894.55,853.58,3373.36,1707.16,0,0,0,0,0,0,0,0,0.0559,0.0379,0.0379,0.0379,0.038,47778.84,32431.82,32450.99,32460.66,48711.38,192791.47,193833.69,1042.22,2316.59,254.98,0,2387.87,3918.57,0.01,0.04,-1.29,18333.1,238.49,18392.97,243.24,64.62,0,150,0,87.03,0,145.44,0.04,0.04,0,1.32,0.07,0.07,0.46,4.51,1021.03,762.49,13.73,275.87,55.7,540,611.9,0.07,12.89,2,0.77,0.5,1,0,0.07,0.07,40381.91,4626.37,0
15,906.15,864.65,3417.09,1729.3,0,0,0,0,0,0,0,0,0.0571,0.0379,0.0379,0.0379,0.038,48875.24,32419.94,32440.79,32451.26,48698.66,193833.7,194885.89,1052.19,2413.46,262.59,0,2459.1,4084.29,0.01,0.05,-1.29,18392.97,243.24,18455,246.17,64.97,0,150,0,89.94,0,147.27,0.04,0.04,0,1.32,0.07,0.07,0.45,4.55,1019.09,769.54,12.39,271.16,56.57,540,611.9,0.06,12.89,2,0.77,0.5,1,0,0.08,0.07,43156.33,4754.33,0
16,910.15,868.46,3432.16,1736.92,0,0,0,0,0,0,0,0,0.0584,0.0379,0.0379,0.0379,0.0379,49965.32,32407.66,32430.21,32441.5,48685.38,194885.89,195930.08,1044.19,2499.16,268.67,0,2515.38,4240.33,0.01,0.05,-1.24,18455,246.17,18518.87,248.44,66.14,0,150,0,92.35,0,147.87,0.04,0.04,0,1.36,0.07,0.07,0.47,4.65,1017.2,770.11,11.31,271.56,57.06,540,611.9,0.09,12.89,2,0.77,0.5,1,0,0.08,0.07,45867.95,4853.12,0
