Year ,GrainC1    ,LeafC1     ,StemC1     ,RootC1     ,GrainC2    ,LeafC2     ,StemC2     ,RootC2     ,GrainC3    ,LeafC3     ,StemC3     ,RootC3     ,SOC 0-10cm ,SOC 10-20cm,SOC 20-30cm,SOC 30-40cm,SOC 40-50cm,SOC_0-10cm ,SOC_10-20cm,SOC_20-30cm,SOC_30-40cm,SOC_40-50cm,IniSOC     ,End_SOC    ,dSOC       ,ShootLitterC_input,RootLitterC_input,ManureC_input,RootExudation_DOC,Soil-CO2   ,Leach_C    ,Runoff_C   ,CH4        ,IniSON     ,IniSIN     ,EndSON     ,EndSIN     ,dSN        ,Atmo_N_input,Fertilizer_N_input,Manure_N_input,Litter_N_input,N_fixation ,Crop_N_uptake,Leach_NO3  ,Runoff_SON ,Leach_DON  ,N2O_flux   ,NO_flux    ,N2_flux    ,NH3_flux   ,exchengeable-NH4,PET        ,Transpiration,Evaporation,WaterLeach ,Runoff     ,Irrigation ,Precipitation,DeepWater  ,MeanT      ,WindSpeed  ,ColdStress ,WaterStress,N_Stress   ,Cut_CropC  ,yr_end_grain,yr_end_leaf,yr_end_stem,yr_end_root,yr_end_stub,
1,417.75,398.62,1575.33,797.23,0,0,0,0,0,0,0,0,0.0389,0.038,0.038,0.038,0.038,33310.76,32525.82,32525.44,32525.84,48789.4,178789.06,179677.27,888.2,820.14,23.72,0,190.03,146.59,0,0,-1.52,17718,2.59,17734.42,96.54,110.37,0,150,0,24.43,0,61.23,0.01,0,0,0.35,0,0.03,0.1,2.36,1048.31,336.05,481.16,367.37,76.68,540,611.9,0.06,12.89,2,0.77,0.59,0.64,0,0.05,0.05,1571.46,651.99,0,
2,625.33,596.69,2358.11,1193.38,35.44,1417.71,1417.71,673.41,3.75,150.12,150.12,71.31,0.0426,0.0381,0.038,0.038,0.038,36466.18,32602.87,32541.19,32542.51,48816.51,179677.27,182969.27,3292,2716.71,709.64,0,669.47,805.56,0,0.01,-1.66,17734.42,96.54,17800.95,138.5,108.49,0,150,0,76.96,21.19,130.39,0.02,0.03,0,1.39,0.04,0.12,0.69,7.18,1046.53,741.96,158.79,125.16,14.17,540,611.9,0.08,12.89,2,0.77,0.41,1,0,0.06,0.06,3915.11,1445.93,1694.61,
3,743.63,709.57,2804.22,1419.14,4.29,171.61,171.61,81.52,0,0,0,0,0.0444,0.0381,0.038,0.038,0.0381,37980.18,32612.26,32545.02,32547.25,48824.82,182969.27,184509.53,1540.27,2033.37,189.37,0,1040.85,1724.74,0,0.03,-1.48,17800.95,138.5,17851.73,166.3,78.58,0,150,0,52.59,2.32,124.51,0.02,0.04,0,1.13,0.05,0.11,0.64,5.88,1044.59,681.47,66.8,249.95,46.89,540,611.9,0.06,12.89,2,0.77,0.46,1,0,0.07,0.06,6687.83,2203.84,1493.45,     
4,757.8,723.09,2857.64,1446.18,4.61,184.56,184.56,87.67,0,0,0,0,0.046,0.0381,0.038,0.038,0.038,39340.38,32616.73,32543.21,32546.28,48824.51,184509.52,185871.11,1361.59,2024.24,230.98,0,1370.08,2265.08,0,0.03,-1.38,17851.73,166.3,17903.55,191.51,77.04,0,150,0,57.99,2.49,127.01,0.03,0.04,0,1.16,0.05,0.1,0.57,5.72,1042.61,692.77,59.03,248.68,49.47,540,611.9,0.05,12.89,2,0.77,0.46,1,0,0.07,0.07,9491.53,2772.56,1377.76,
5,764.27,729.27,2882.06,1458.53,4.69,187.48,187.48,89.06,0,0,0,0,0.0475,0.0381,0.038,0.038,0.038,40613.48,32617.96,32538.02,32541.96,48819.15,185871.13,187130.56,1259.44,2029.03,258.7,0,1614.3,2643.89,0.01,0.03,-1.31,17903.55,191.51,17956.27,215.44,76.64,0,150,0,61.96,2.53,128.06,0.03,0.04,0,1.25,0.05,0.1,0.56,5.63,1040.63,696.05,52.03,251.99,50.58,540,611.9,0.05,12.89,2,0.77,0.47,1,0,0.07,0.07,12292.65,3192.84,1302.88,
6,770.27,734.99,2904.69,1469.99,4.74,189.42,189.42,89.98,0,0,0,0,0.0489,0.0381,0.038,0.038,0.038,41806.9,32617.11,32530.74,32535.57,48810.68,187130.58,188301,1170.42,2049.65,279.17,0,1795.4,2955.15,0.01,0.04,-1.3,17956.27,215.44,18010.05,238.16,76.5,0,150,0,65.17,2.56,129.03,0.04,0.04,0,1.3,0.06,0.1,0.56,5.64,1038.65,698.78,46.44,254.58,51.75,540,611.9,0.06,12.89,2,0.77,0.47,1,0,0.07,0.07,15084.93,3505.22,1254.49,
7,767.01,731.88,2892.39,1463.76,4.87,194.72,194.72,92.49,0,0,0,0,0.0502,0.0381,0.038,0.038,0.038,42922.36,32614.8,32521.91,32527.64,48799.91,188301.03,189386.63,1085.59,2065.08,295.76,0,1925.4,3202.01,0.01,0.04,-1.3,18010.05,238.16,18064.59,261.15,77.53,0,150,0,67.37,2.63,128.54,0.04,0.04,0,1.33,0.06,0.1,0.57,5.77,1036.71,693.79,41.62,262.19,52.72,540,611.9,0.05,12.89,2,0.77,0.46,1,0,0.07,0.07,17829.25,3725.51,1230.69,
8,778.05,742.42,2934.03,1484.83,4.63,185.17,185.17,87.96,0,0,0,0,0.0514,0.0381,0.038,0.038,0.038,44001.97,32611.18,32512.34,32518.98,48788.02,189386.64,190432.48,1045.84,2117.64,301.93,0,2024.96,3400.04,0.01,0.04,-1.3,18064.59,261.15,18120.59,282.25,77.1,0,150,0,69.9,2.5,130.12,0.05,0.04,0,1.38,0.06,0.1,0.59,5.86,1034.77,699.62,38.52,258.39,53.51,540,611.9,0.06,12.89,2,0.77,0.47,1,0,0.07,0.07,20575.25,3901.42,1196.53,
9,782.87,747.01,2952.19,1494.02,5.16,206.2,206.2,97.95,0,0,0,0,0.0527,0.0381,0.038,0.038,0.038,45058.76,32607.82,32502.19,32509.73,48775.24,190432.48,191453.73,1021.25,2164.51,320.21,0,2102.81,3567.69,0.01,0.04,-1.31,18120.58,282.25,18177.93,302.4,77.49,0,150,0,72.08,2.78,131.23,0.05,0.04,0,1.36,0.07,0.1,0.61,6.02,1032.86,703.49,34.53,230.48,54.17,510,611.9,0.05,12.89,2,0.77,0.47,1,0,0.07,0.07,23295.19,4035.75,1211.69,
10,786.73,750.7,2966.75,1501.39,5.21,208.27,208.27,98.93,0,0,0,0,0.0539,0.0381,0.038,0.038,0.038,46108.8,32603.93,32491.57,32500.01,48761.76,191453.73,192466.06,1012.33,2225.31,327.56,0,2161.82,3703.8,0.01,0.04,-1.31,18177.93,302.4,18236.69,321.8,78.16,0,150,0,73.96,2.81,131.84,0.06,0.04,0,1.44,0.07,0.11,0.62,6.1,1030.97,704.36,32.43,261.15,54.79,540,611.9,0.07,12.89,2,0.77,0.47,1,0,0.07,0.07,25981.44,4138.63,1226.05,
11,759.58,724.79,2864.35,1449.57,5.27,210.73,210.73,100.1,0,0,0,0,0.0551,0.0381,0.038,0.038,0.038,47099.52,32599.15,32480.07,32489.41,48746.94,192466.06,193415.09,949.03,2228.39,331.85,0,2187.8,3800.55,0.01,0.04,-1.37,18236.69,321.8,18295.41,345.39,82.32,0,150,0,73.92,2.84,127.42,0.06,0.04,0,1.45,0.07,0.11,0.64,6.19,1029.19,678.56,28.01,288.96,55.37,540,611.9,0.07,12.89,2,0.77,0.45,1,0,0.07,0.07,28513.98,4169.83,1240.55,
